#Log_File	LOG005																		
#Comment																			
#Device	FireStingGO2_Pocket_Oxygen_Meter																		
#Firmware	3.38																		
#Unique_ID	24796C035B27F293																		
#Manufacturer	Pyro_Science_GmbH																		
#Settings	Sensor Code	Medium	Oxygen Units	Temperature	Salinity														
#	XB7-547-207	Water	%air sat.	Sensor	0.0 psu														
#Calibration	Sensor Code	Calibrate Air	Calibrate 0%																
#	XB7-547-207	4-Jun-23	not cal.																
#Adv. Settings	Temperature	Pressure	Salinity	Mode	LED Intensity	Amplification	Frequency												
#	Sensor	Sensor	0 psu	default	15%	400x	4000 Hz												
#Adv. Calibration	dphi0	dphi100	Temp0	Temp100	Pressure	Humidity	f	m	calFreq	tt	kt	bkgdAmp	bkgdDphi	useKsv	ksv	ft	mt	not used	PercentO2
#	54.700°	21.191°	20.00°C	23.23°C	1016 mbar	48%RH	0.804	0.122	4000 Hz	#NAME?	0.969%/K	0.60 mV	0.000°	0	0.000000/hPa	0.000000/K	#NAME?	0	20.95%O2
#																			
Data_Point	Date_Time(YYYY-MM-DD_hh:mm:ss)	Oxygen(%air sat.)	Warning 	Compensation_Temperature(°C)	Temperature(°C)	Air_Pressure(mbar)	Humidity(%RH)	Time(s)		Status	dphi(°)	Intensity(mV)	Ambient_Light(mV)	Case_Temperature(°C)					
163	6/5/2023 5:20	89.477		15.8	15.8	1015.7	56.9	48600		0	23.446	62	-0.1	14.86					
164	6/5/2023 5:25	89.472		15.8	15.8	1015.7	56.9	48900		0	23.447	62	-0.2	14.84					
165	6/5/2023 5:30	88.954		15.8	15.8	1015.7	57	49200		0	23.517	62.2	-0.1	14.84					
166	6/5/2023 5:35	88.557		15.8	15.8	1015.9	57	49500		0	23.569	62.3	-0.1	14.84					
167	6/5/2023 5:40	88.308		15.8	15.8	1016	57.1	49800		0	23.602	62.4	-0.2	14.86					
168	6/5/2023 5:45	88.297		15.79	15.79	1016.1	57.1	50100		0	23.604	62.5	-0.1	14.87					
169	6/5/2023 5:50	87.865		15.8	15.8	1016.1	57.2	50400		0	23.662	62.5	-0.3	14.89					
170	6/5/2023 5:55	88.209		15.8	15.8	1016.1	57.2	50700		0	23.615	62.5	-0.3	14.89					
171	6/5/2023 6:00	87.987		15.8	15.8	1016.1	57.2	51000		0	23.645	62.4	-0.2	14.9					
172	6/5/2023 6:05	88.124		15.8	15.8	1016.1	57.3	51300		0	23.627	62.5	-0.1	14.91					
173	6/5/2023 6:10	87.935		15.8	15.8	1016.1	57.3	51600		0	23.653	62.5	-0.2	14.92					
174	6/5/2023 6:15	87.981		15.8	15.8	1016.1	57.4	51900		0	23.647	62.5	-0.1	14.92					
175	6/5/2023 6:20	88.018		15.79	15.79	1016.2	57.4	52200		0	23.641	62.5	-0.1	14.94					
176	6/5/2023 6:25	88.171		15.79	15.79	1016.3	57.5	52500		0	23.619	62.4	-0.1	14.98					
177	6/5/2023 6:30	87.882		15.79	15.79	1016.3	57.5	52800		0	23.658	62.5	-0.2	15					
178	6/5/2023 6:35	87.809		15.79	15.79	1016.3	57.6	53100		0	23.668	62.5	-0.2	15.06					
179	6/5/2023 6:40	88		15.79	15.79	1016.3	57.6	53400		0	23.642	62.5	-0.3	15.1					
180	6/5/2023 6:45	87.968		15.8	15.8	1016.2	57.7	53700		0	23.647	62.4	-0.4	15.2					
181	6/5/2023 6:50	87.801		15.79	15.79	1016.3	57.8	54000		0	23.67	62.3	-0.2	15.33					
182	6/5/2023 6:55	87.87		15.79	15.79	1016.4	57.7	54300		0	23.66	62.2	-0.3	15.45					
183	6/5/2023 7:00	87.674		15.79	15.79	1016.4	57.8	54600		0	23.687	62.2	-0.1	15.49					
184	6/5/2023 7:05	88.185		15.79	15.79	1016.3	57.8	54900		0	23.617	62.2	-0.3	15.57					
185	6/5/2023 7:10	88.031		15.79	15.79	1016.3	57.8	55200		0	23.638	62.2	-0.2	15.64					
186	6/5/2023 7:15	87.784		15.79	15.79	1016.3	57.9	55500		0	23.672	62.2	-0.3	15.68					
187	6/5/2023 7:20	88.009		15.78	15.78	1016.3	57.9	55800		0	23.642	62.1	-0.3	15.76					
188	6/5/2023 7:25	88.039		15.78	15.78	1016.3	57.9	56100		0	23.638	62.1	-0.2	15.82					
189	6/5/2023 7:30	87.931		15.78	15.78	1016.3	58.1	56400		0	23.653	62.1	-0.1	15.93					
190	6/5/2023 7:35	87.986		15.79	15.79	1016.3	58	56700		0	23.644	62	-0.4	16.05					
191	6/5/2023 7:40	88.039		15.78	15.78	1016.2	58.1	57000		0	23.638	61.9	-0.2	16.24					
192	6/5/2023 7:45	87.984		15.79	15.79	1016.2	58.2	57300		0	23.647	61.9	0	16.4					
193	6/5/2023 7:50	87.938		15.78	15.78	1016.2	58.4	57600		0	23.653	61.8	-0.1	16.76					
194	6/5/2023 7:55	87.961		15.78	15.78	1016.2	58.1	57900		0	23.65	61.6	-0.1	16.91					
195	6/5/2023 8:00	87.804		15.78	15.78	1016.2	58.3	58200		0	23.671	61.6	-0.1	17.17					
196	6/5/2023 8:05	88.195		15.77	15.77	1016.1	58.1	58500		0	23.619	61.4	-0.1	17.26					
197	6/5/2023 8:10	87.973		15.77	15.77	1016.1	58.1	58800		0	23.65	61.3	-0.3	17.29					
198	6/5/2023 8:15	87.871		15.78	15.78	1016.1	58.2	59100		0	23.663	61.4	-0.3	17.33					
199	6/5/2023 8:20	87.868		15.77	15.77	1016.1	58.2	59400		0	23.665	61.4	-0.3	17.41					
200	6/5/2023 8:25	88.025		15.77	15.77	1016.1	59.7	59700		0	23.643	62	-0.7	18.31					
201	6/5/2023 8:30	87.99		15.77	15.77	1016	58.4	60000		0	23.65	61.6	-0.8	19.08					
202	6/5/2023 8:35	87.936		15.77	15.77	1016	57.7	60300		0	23.656	61.2	-0.9	19.49					
203	6/5/2023 8:40	87.997		15.77	15.77	1015.9	57.2	60600		0	23.65	61.1	-0.7	19.84					
204	6/5/2023 8:45	87.995		15.77	15.77	1015.9	56.7	60900		0	23.65	60.9	-1	20.15					
205	6/5/2023 8:50	87.911		15.77	15.77	1015.7	56.4	61200		0	23.664	60.8	-0.8	20.45					
206	6/5/2023 8:55	88.054		15.77	15.77	1015.7	56	61500		0	23.645	60.6	-0.7	20.68					
207	6/5/2023 9:00	87.792		15.77	15.77	1015.6	55.7	61800		0	23.682	60.5	-0.8	20.94					
208	6/5/2023 9:05	87.782		15.77	15.77	1015.6	55.4	62100		0	23.684	60.4	-0.9	21.16					
209	6/5/2023 9:10	87.847		15.76	15.76	1015.6	55.2	62400		0	23.675	60.2	-0.9	21.36					
210	6/5/2023 9:15	87.953		15.76	15.76	1015.5	54.9	62700		0	23.661	60.2	-0.9	21.54					
211	6/5/2023 9:20	87.982		15.76	15.76	1015.5	54.7	63000		0	23.658	60.1	-0.9	21.71					
212	6/5/2023 9:25	87.921		15.76	15.76	1015.5	54.4	63300		0	23.667	60	-0.8	21.88					
213	6/5/2023 9:30	86.675		15.77	15.77	1015.3	54.3	63600		0	23.841	60.4	-0.9	22.04					
214	6/5/2023 9:35	86.82		15.76	15.76	1015.2	54	63900		0	23.823	60.3	-1	22.19					
215	6/5/2023 9:40	86.917		15.77	15.77	1015.4	53.8	64200		0	23.807	60.1	-0.9	22.38					
216	6/5/2023 9:45	87.097		15.76	15.76	1015.3	53.5	64500		0	23.783	59.9	-0.9	22.55					
217	6/5/2023 9:50	87.482		15.75	15.75	1015.3	53.3	64800		0	23.731	59.7	-1.1	22.74					
218	6/5/2023 9:55	87.533		15.75	15.75	1015.2	53.3	65100		0	23.724	59.7	-1	22.54					
219	6/5/2023 10:00	87.447		15.75	15.75	1015.2	53.3	65400		0	23.737	59.8	-0.8	22.72					
220	6/5/2023 10:05	87.593		15.76	15.76	1015.2	53.2	65700		0	23.717	59.7	-0.8	22.95					
221	6/5/2023 10:10	87.322		15.76	15.76	1015.2	52.9	66000		0	23.754	59.5	-1	23.11					
222	6/5/2023 10:15	87.634		15.75	15.75	1015.2	53	66300		0	23.711	59.4	-0.9	23.04					
223	6/5/2023 10:20	87.5		15.76	15.76	1015.1	53	66600		0	23.73	59.5	-1	23.1					
224	6/5/2023 10:25	87.416		15.75	15.75	1015.1	53	66900		0	23.743	59.4	-1.1	23.28					
225	6/5/2023 10:30	87.243		15.75	15.75	1015.1	54.6	67200		0	23.766	59.6	-0.8	22.58					
226	6/5/2023 10:35	87.336		15.75	15.75	1015	54.8	67500		0	23.755	59.7	-0.9	22.42					
