plot,condition,co2,type,measurement,unit
Freshwater,0_preflood,5.718,soil,flux,umol_m2_s
Freshwater,0_preflood,3.806,soil,flux,umol_m2_s
Freshwater,0_preflood,6.036,soil,flux,umol_m2_s
Freshwater,0_preflood,8.817,soil,flux,umol_m2_s
Freshwater,0_preflood,21.275,soil,flux,umol_m2_s
Freshwater,0_preflood,4.633,soil,flux,umol_m2_s
Freshwater,0_preflood,4.385,soil,flux,umol_m2_s
Control,1_flood,12.769,soil,flux,umol_m2_s
Control,1_flood,13.771,soil,flux,umol_m2_s
Control,1_flood,31.562,soil,flux,umol_m2_s
Control,1_flood,13.058,soil,flux,umol_m2_s
Control,1_flood,22.256,soil,flux,umol_m2_s
Control,1_flood,14.046,soil,flux,umol_m2_s
Control,1_flood,9.539,soil,flux,umol_m2_s
Control,1_flood,7.336,soil,flux,umol_m2_s
Control,1_flood,5.911,soil,flux,umol_m2_s
Control,1_flood,5.078,soil,flux,umol_m2_s
Control,1_flood,5.845,soil,flux,umol_m2_s
Control,1_flood,6.748,soil,flux,umol_m2_s
Control,1_flood,10.683,soil,flux,umol_m2_s
Control,1_flood,7.216,soil,flux,umol_m2_s
Control,1_flood,NA,soil,flux,umol_m2_s
Control,1_flood,16.41,soil,flux,umol_m2_s
Control,1_flood,1.614,soil,flux,umol_m2_s
Saltwater,1_flood,6.741,soil,flux,umol_m2_s
Saltwater,1_flood,2.584,soil,flux,umol_m2_s
Saltwater,1_flood,1.309,soil,flux,umol_m2_s
Saltwater,1_flood,4.805,soil,flux,umol_m2_s
Saltwater,1_flood,0.884,soil,flux,umol_m2_s
Saltwater,1_flood,12.001,soil,flux,umol_m2_s
Saltwater,1_flood,1.864,soil,flux,umol_m2_s
Saltwater,1_flood,1.084,soil,flux,umol_m2_s
Saltwater,1_flood,3.613,soil,flux,umol_m2_s
Saltwater,1_flood,7.563,soil,flux,umol_m2_s
Saltwater,1_flood,2.928,soil,flux,umol_m2_s
Saltwater,1_flood,1.216,soil,flux,umol_m2_s
Saltwater,1_flood,0.789,soil,flux,umol_m2_s
Saltwater,1_flood,1.739,soil,flux,umol_m2_s
Saltwater,1_flood,1.433,soil,flux,umol_m2_s
Saltwater,1_flood,1.476,soil,flux,umol_m2_s
Freshwater,1_flood,4.27,soil,flux,umol_m2_s
Freshwater,1_flood,3.257,soil,flux,umol_m2_s
Freshwater,1_flood,1.751,soil,flux,umol_m2_s
Freshwater,1_flood,1.257,soil,flux,umol_m2_s
Freshwater,1_flood,6.256,soil,flux,umol_m2_s
Freshwater,1_flood,1.585,soil,flux,umol_m2_s
Freshwater,1_flood,4.982,soil,flux,umol_m2_s
Freshwater,1_flood,2.442,soil,flux,umol_m2_s
Freshwater,1_flood,2.721,soil,flux,umol_m2_s
Freshwater,1_flood,0.864,soil,flux,umol_m2_s
Freshwater,1_flood,1.398,soil,flux,umol_m2_s
Freshwater,1_flood,1.802,soil,flux,umol_m2_s
Freshwater,1_flood,11.008,soil,flux,umol_m2_s
Freshwater,1_flood,3.647,soil,flux,umol_m2_s
Freshwater,1_flood,1.229,soil,flux,umol_m2_s
Control,1_flood,15.21,soil,flux,umol_m2_s
Control,1_flood,20.39,soil,flux,umol_m2_s
Control,1_flood,7.26,soil,flux,umol_m2_s
Control,1_flood,29.58,soil,flux,umol_m2_s
Control,1_flood,10.55,soil,flux,umol_m2_s
Control,1_flood,12.82,soil,flux,umol_m2_s
Control,1_flood,6.011,soil,flux,umol_m2_s
Control,1_flood,11.35,soil,flux,umol_m2_s
Control,1_flood,22.955,soil,flux,umol_m2_s
Control,1_flood,23.884,soil,flux,umol_m2_s
Control,1_flood,6.908,soil,flux,umol_m2_s
Control,1_flood,18.923,soil,flux,umol_m2_s
Control,1_flood,16.069,soil,flux,umol_m2_s
Control,1_flood,25.692,soil,flux,umol_m2_s
Control,1_flood,19.007,soil,flux,umol_m2_s
Control,1_flood,21.315,soil,flux,umol_m2_s
Saltwater,1_flood,1.468,soil,flux,umol_m2_s
Saltwater,1_flood,4.579,soil,flux,umol_m2_s
Saltwater,1_flood,0.721,soil,flux,umol_m2_s
Saltwater,1_flood,0.827,soil,flux,umol_m2_s
Saltwater,1_flood,7.963,soil,flux,umol_m2_s
Saltwater,1_flood,0.483,soil,flux,umol_m2_s
Saltwater,1_flood,3.114,soil,flux,umol_m2_s
Saltwater,1_flood,2.338,soil,flux,umol_m2_s
Saltwater,1_flood,1.476,soil,flux,umol_m2_s
Saltwater,1_flood,3.846,soil,flux,umol_m2_s
Saltwater,1_flood,2.892,soil,flux,umol_m2_s
Saltwater,1_flood,1.219,soil,flux,umol_m2_s
Saltwater,1_flood,0.747,soil,flux,umol_m2_s
Saltwater,1_flood,0.73,soil,flux,umol_m2_s
Saltwater,1_flood,2.362,soil,flux,umol_m2_s
Saltwater,1_flood,3.713,soil,flux,umol_m2_s
Freshwater,1_flood,2.35,soil,flux,umol_m2_s
Freshwater,1_flood,4.56,soil,flux,umol_m2_s
Freshwater,1_flood,3.53,soil,flux,umol_m2_s
Freshwater,1_flood,4.34,soil,flux,umol_m2_s
Freshwater,1_flood,5.07,soil,flux,umol_m2_s
Freshwater,1_flood,3.48,soil,flux,umol_m2_s
Freshwater,1_flood,2.03,soil,flux,umol_m2_s
Freshwater,1_flood,7.72,soil,flux,umol_m2_s
Freshwater,1_flood,2.37,soil,flux,umol_m2_s
Freshwater,1_flood,2.96,soil,flux,umol_m2_s
Freshwater,1_flood,1.08,soil,flux,umol_m2_s
Freshwater,1_flood,0.64,soil,flux,umol_m2_s
Freshwater,1_flood,2.25,soil,flux,umol_m2_s
Freshwater,1_flood,17.33,soil,flux,umol_m2_s
Freshwater,1_flood,3.63,soil,flux,umol_m2_s
Freshwater,1_flood,1.44,soil,flux,umol_m2_s
Control,1_flood,19.667,soil,flux,umol_m2_s
Control,1_flood,15.73,soil,flux,umol_m2_s
Control,1_flood,35.647,soil,flux,umol_m2_s
Control,1_flood,16.523,soil,flux,umol_m2_s
Control,1_flood,13.276,soil,flux,umol_m2_s
Control,1_flood,7.636,soil,flux,umol_m2_s
Control,1_flood,14.632,soil,flux,umol_m2_s
Control,1_flood,14.813,soil,flux,umol_m2_s
Control,1_flood,7.455,soil,flux,umol_m2_s
Control,1_flood,9.251,soil,flux,umol_m2_s
Control,1_flood,5.594,soil,flux,umol_m2_s
Control,1_flood,8.523,soil,flux,umol_m2_s
Control,1_flood,10.976,soil,flux,umol_m2_s
Control,1_flood,11.334,soil,flux,umol_m2_s
Control,1_flood,11.931,soil,flux,umol_m2_s
Control,1_flood,14.412,soil,flux,umol_m2_s
Saltwater,1_flood,2.987,soil,flux,umol_m2_s
Saltwater,1_flood,3.61,soil,flux,umol_m2_s
Saltwater,1_flood,0.984,soil,flux,umol_m2_s
Saltwater,1_flood,0.973,soil,flux,umol_m2_s
Saltwater,1_flood,3.555,soil,flux,umol_m2_s
Saltwater,1_flood,1.14,soil,flux,umol_m2_s
Saltwater,1_flood,4.491,soil,flux,umol_m2_s
Saltwater,1_flood,3.145,soil,flux,umol_m2_s
Saltwater,1_flood,1.367,soil,flux,umol_m2_s
Saltwater,1_flood,4.882,soil,flux,umol_m2_s
Saltwater,1_flood,3.844,soil,flux,umol_m2_s
Saltwater,1_flood,1.598,soil,flux,umol_m2_s
Saltwater,1_flood,1.087,soil,flux,umol_m2_s
Saltwater,1_flood,1.402,soil,flux,umol_m2_s
Saltwater,1_flood,2.188,soil,flux,umol_m2_s
Saltwater,1_flood,3.713,soil,flux,umol_m2_s
Freshwater,1_flood,1.425,soil,flux,umol_m2_s
Freshwater,1_flood,5.268,soil,flux,umol_m2_s
Freshwater,1_flood,6.7,soil,flux,umol_m2_s
Freshwater,1_flood,6.138,soil,flux,umol_m2_s
Freshwater,1_flood,5.1,soil,flux,umol_m2_s
Freshwater,1_flood,6.535,soil,flux,umol_m2_s
Freshwater,1_flood,2.035,soil,flux,umol_m2_s
Freshwater,1_flood,7.05,soil,flux,umol_m2_s
Freshwater,1_flood,2.53,soil,flux,umol_m2_s
Freshwater,1_flood,1.938,soil,flux,umol_m2_s
Freshwater,1_flood,2.563,soil,flux,umol_m2_s
Freshwater,1_flood,1.007,soil,flux,umol_m2_s
Freshwater,1_flood,7.116,soil,flux,umol_m2_s
Freshwater,1_flood,6.403,soil,flux,umol_m2_s
Freshwater,1_flood,5.14,soil,flux,umol_m2_s
Freshwater,1_flood,6.615,soil,flux,umol_m2_s
Control,2_postflood,12.46,soil,flux,umol_m2_s
Control,2_postflood,12.121,soil,flux,umol_m2_s
Control,2_postflood,25.853,soil,flux,umol_m2_s
Control,2_postflood,12.777,soil,flux,umol_m2_s
Control,2_postflood,10.358,soil,flux,umol_m2_s
Control,2_postflood,9.919,soil,flux,umol_m2_s
Control,2_postflood,7.038,soil,flux,umol_m2_s
Control,2_postflood,6.416,soil,flux,umol_m2_s
Control,2_postflood,13.383,soil,flux,umol_m2_s
Control,2_postflood,9.168,soil,flux,umol_m2_s
Control,2_postflood,4.864,soil,flux,umol_m2_s
Control,2_postflood,10.305,soil,flux,umol_m2_s
Control,2_postflood,10.613,soil,flux,umol_m2_s
Control,2_postflood,14.396,soil,flux,umol_m2_s
Control,2_postflood,4.533,soil,flux,umol_m2_s
Control,2_postflood,6.507,soil,flux,umol_m2_s
Saltwater,2_postflood,17.003,soil,flux,umol_m2_s
Saltwater,2_postflood,10.524,soil,flux,umol_m2_s
Saltwater,2_postflood,8.259,soil,flux,umol_m2_s
Saltwater,2_postflood,5.213,soil,flux,umol_m2_s
Saltwater,2_postflood,8.881,soil,flux,umol_m2_s
Saltwater,2_postflood,9.093,soil,flux,umol_m2_s
Saltwater,2_postflood,7.875,soil,flux,umol_m2_s
Saltwater,2_postflood,13.726,soil,flux,umol_m2_s
Saltwater,2_postflood,4.843,soil,flux,umol_m2_s
Saltwater,2_postflood,7.155,soil,flux,umol_m2_s
Saltwater,2_postflood,14.111,soil,flux,umol_m2_s
Saltwater,2_postflood,25.258,soil,flux,umol_m2_s
Saltwater,2_postflood,8.234,soil,flux,umol_m2_s
Saltwater,2_postflood,6.481,soil,flux,umol_m2_s
Saltwater,2_postflood,6.335,soil,flux,umol_m2_s
Saltwater,2_postflood,3.734,soil,flux,umol_m2_s
Freshwater,2_postflood,8.622,soil,flux,umol_m2_s
Freshwater,2_postflood,10.425,soil,flux,umol_m2_s
Freshwater,2_postflood,8.088,soil,flux,umol_m2_s
Freshwater,2_postflood,8.702,soil,flux,umol_m2_s
Freshwater,2_postflood,11.387,soil,flux,umol_m2_s
Freshwater,2_postflood,12.622,soil,flux,umol_m2_s
Freshwater,2_postflood,11.195,soil,flux,umol_m2_s
Freshwater,2_postflood,7.712,soil,flux,umol_m2_s
Freshwater,2_postflood,21.054,soil,flux,umol_m2_s
Freshwater,2_postflood,5.381,soil,flux,umol_m2_s
Freshwater,2_postflood,6.048,soil,flux,umol_m2_s
Freshwater,2_postflood,23.866,soil,flux,umol_m2_s
Freshwater,2_postflood,6.091,soil,flux,umol_m2_s
Freshwater,2_postflood,12.671,soil,flux,umol_m2_s
Freshwater,2_postflood,3.699,soil,flux,umol_m2_s
Freshwater,2_postflood,3.269,soil,flux,umol_m2_s
Control,2_postflood,10.931,soil,flux,umol_m2_s
Control,2_postflood,12.947,soil,flux,umol_m2_s
Control,2_postflood,30.097,soil,flux,umol_m2_s
Control,2_postflood,NA,soil,flux,umol_m2_s
Control,2_postflood,6.289,soil,flux,umol_m2_s
Control,2_postflood,8.497,soil,flux,umol_m2_s
Control,2_postflood,7.997,soil,flux,umol_m2_s
Control,2_postflood,6.402,soil,flux,umol_m2_s
Control,2_postflood,13.895,soil,flux,umol_m2_s
Control,2_postflood,13.443,soil,flux,umol_m2_s
Control,2_postflood,5.358,soil,flux,umol_m2_s
Control,2_postflood,3.451,soil,flux,umol_m2_s
Control,2_postflood,11.149,soil,flux,umol_m2_s
Control,2_postflood,12.684,soil,flux,umol_m2_s
Control,2_postflood,6.001,soil,flux,umol_m2_s
Control,2_postflood,18.017,soil,flux,umol_m2_s
Saltwater,2_postflood,7.26,soil,flux,umol_m2_s
Saltwater,2_postflood,4.323,soil,flux,umol_m2_s
Saltwater,2_postflood,7.287,soil,flux,umol_m2_s
Saltwater,2_postflood,3.793,soil,flux,umol_m2_s
Saltwater,2_postflood,4.819,soil,flux,umol_m2_s
Saltwater,2_postflood,4.479,soil,flux,umol_m2_s
Saltwater,2_postflood,5.26,soil,flux,umol_m2_s
Saltwater,2_postflood,12.424,soil,flux,umol_m2_s
Saltwater,2_postflood,11.997,soil,flux,umol_m2_s
Saltwater,2_postflood,19.367,soil,flux,umol_m2_s
Saltwater,2_postflood,6.304,soil,flux,umol_m2_s
Saltwater,2_postflood,17.957,soil,flux,umol_m2_s
Saltwater,2_postflood,9.126,soil,flux,umol_m2_s
Saltwater,2_postflood,5.072,soil,flux,umol_m2_s
Saltwater,2_postflood,3.211,soil,flux,umol_m2_s
Saltwater,2_postflood,8.506,soil,flux,umol_m2_s
Freshwater,2_postflood,10.332,soil,flux,umol_m2_s
Freshwater,2_postflood,9.255,soil,flux,umol_m2_s
Freshwater,2_postflood,12.524,soil,flux,umol_m2_s
Freshwater,2_postflood,18.467,soil,flux,umol_m2_s
Freshwater,2_postflood,17.812,soil,flux,umol_m2_s
Freshwater,2_postflood,24.03,soil,flux,umol_m2_s
Freshwater,2_postflood,13.381,soil,flux,umol_m2_s
Freshwater,2_postflood,13.19,soil,flux,umol_m2_s
Freshwater,2_postflood,20.225,soil,flux,umol_m2_s
Freshwater,2_postflood,6.212,soil,flux,umol_m2_s
Freshwater,2_postflood,7.373,soil,flux,umol_m2_s
Freshwater,2_postflood,12.599,soil,flux,umol_m2_s
Freshwater,2_postflood,28.409,soil,flux,umol_m2_s
Freshwater,2_postflood,11.156,soil,flux,umol_m2_s
Freshwater,2_postflood,3.621,soil,flux,umol_m2_s
Freshwater,2_postflood,3.587,soil,flux,umol_m2_s
Control,0_preflood,5350.6484473347,soil,conc,ppm
Control,0_preflood,8460.5761233633,soil,conc,ppm
Control,0_preflood,11944.4794047108,soil,conc,ppm
Control,0_preflood,19579.3338601748,soil,conc,ppm
Control,0_preflood,5296.5331333551,soil,conc,ppm
Control,0_preflood,20221.3889738047,soil,conc,ppm
Control,0_preflood,18226.8056229812,soil,conc,ppm
Control,0_preflood,15616.5118970468,soil,conc,ppm
Control,0_preflood,5575.95284739419,soil,conc,ppm
Control,0_preflood,11996.3636163257,soil,conc,ppm
Control,0_preflood,7451.96271161387,soil,conc,ppm
Control,0_preflood,11242.7386089456,soil,conc,ppm
Control,0_preflood,409.163035989522,soil,conc,ppm
Control,0_preflood,5263.3768836431,soil,conc,ppm
Control,0_preflood,12548.5983903837,soil,conc,ppm
Control,0_preflood,15439.6933407618,soil,conc,ppm
Control,0_preflood,10603.6607610542,soil,conc,ppm
Control,0_preflood,2348.73715433623,soil,conc,ppm
Control,0_preflood,8830.64360566583,soil,conc,ppm
Control,0_preflood,14127.1993542789,soil,conc,ppm
Control,0_preflood,13189.5970548806,soil,conc,ppm
Saltwater,0_preflood,3969.4113896463,soil,conc,ppm
Saltwater,0_preflood,23205.5844274962,soil,conc,ppm
Saltwater,0_preflood,21775.5660157863,soil,conc,ppm
Saltwater,0_preflood,34688.0931150809,soil,conc,ppm
Saltwater,0_preflood,16093.6058030521,soil,conc,ppm
Saltwater,0_preflood,34862.8135486123,soil,conc,ppm
Saltwater,0_preflood,21775.1966279776,soil,conc,ppm
Saltwater,0_preflood,11302.5277196674,soil,conc,ppm
Saltwater,0_preflood,12878.8163158799,soil,conc,ppm
Saltwater,0_preflood,34126.8822172706,soil,conc,ppm
Saltwater,0_preflood,14764.6445080558,soil,conc,ppm
Saltwater,0_preflood,28443.2080451038,soil,conc,ppm
Saltwater,0_preflood,425.704222064651,soil,conc,ppm
Saltwater,0_preflood,3893.20668470438,soil,conc,ppm
Saltwater,0_preflood,19339.7932539667,soil,conc,ppm
Saltwater,0_preflood,21771.0594845198,soil,conc,ppm
Saltwater,0_preflood,29670.6985090408,soil,conc,ppm
Saltwater,0_preflood,25968.5313592682,soil,conc,ppm
Saltwater,0_preflood,39329.9606870053,soil,conc,ppm
Saltwater,0_preflood,48897.8954231384,soil,conc,ppm
Saltwater,0_preflood,39915.8171394144,soil,conc,ppm
Freshwater,0_preflood,10362.509624,soil,conc,ppm
Freshwater,0_preflood,19201.8860094537,soil,conc,ppm
Freshwater,0_preflood,18743.800800086,soil,conc,ppm
Freshwater,0_preflood,28469.5158448419,soil,conc,ppm
Freshwater,0_preflood,22762.3338325272,soil,conc,ppm
Freshwater,0_preflood,28660.3933011273,soil,conc,ppm
Freshwater,0_preflood,29072.4749527953,soil,conc,ppm
Freshwater,0_preflood,36779.6555412094,soil,conc,ppm
Freshwater,0_preflood,5315.13550340297,soil,conc,ppm
Freshwater,0_preflood,20655.18324087,soil,conc,ppm
Freshwater,0_preflood,12557.9734529694,soil,conc,ppm
Freshwater,0_preflood,26888.0188805262,soil,conc,ppm
Freshwater,0_preflood,422.357568517516,soil,conc,ppm
Freshwater,0_preflood,10552.3749576895,soil,conc,ppm
Freshwater,0_preflood,22972.3381895489,soil,conc,ppm
Freshwater,0_preflood,23396.8682103713,soil,conc,ppm
Freshwater,0_preflood,20779.1645649937,soil,conc,ppm
Freshwater,0_preflood,12292.287577659,soil,conc,ppm
Freshwater,0_preflood,24935.8412501455,soil,conc,ppm
Freshwater,0_preflood,16819.4528472153,soil,conc,ppm
Freshwater,0_preflood,32019.6503602955,soil,conc,ppm
Control,0_preflood,4445.16811178393,soil,conc,ppm
Control,0_preflood,7444.11691455635,soil,conc,ppm
Control,0_preflood,10616.4563547487,soil,conc,ppm
Control,0_preflood,17157.7455902105,soil,conc,ppm
Control,0_preflood,4005.49319080348,soil,conc,ppm
Control,0_preflood,15563.5860118114,soil,conc,ppm
Control,0_preflood,14789.4156545095,soil,conc,ppm
Control,0_preflood,14897.6832212496,soil,conc,ppm
Control,0_preflood,4537.36730884405,soil,conc,ppm
Control,0_preflood,10483.2772741876,soil,conc,ppm
Control,0_preflood,7864.0295877695,soil,conc,ppm
Control,0_preflood,12463.9273168656,soil,conc,ppm
Control,0_preflood,662.016378824431,soil,conc,ppm
Control,0_preflood,4673.10994079779,soil,conc,ppm
Control,0_preflood,10946.2901169239,soil,conc,ppm
Control,0_preflood,15837.826908772,soil,conc,ppm
Control,0_preflood,16190.5996538696,soil,conc,ppm
Control,0_preflood,15392.7072114908,soil,conc,ppm
Control,0_preflood,15006.6821758509,soil,conc,ppm
Saltwater,0_preflood,4416.98382197749,soil,conc,ppm
Saltwater,0_preflood,22633.8681404056,soil,conc,ppm
Saltwater,0_preflood,22728.6752153953,soil,conc,ppm
Saltwater,0_preflood,37941.2102812873,soil,conc,ppm
Saltwater,0_preflood,16069.0045749904,soil,conc,ppm
Saltwater,0_preflood,37033.1590065877,soil,conc,ppm
Saltwater,0_preflood,24932.1178210334,soil,conc,ppm
Saltwater,0_preflood,14533.1491683219,soil,conc,ppm
Saltwater,0_preflood,11920.2845032387,soil,conc,ppm
Saltwater,0_preflood,34982.3326680064,soil,conc,ppm
Saltwater,0_preflood,19710.9245731583,soil,conc,ppm
Saltwater,0_preflood,40067.2661409955,soil,conc,ppm
Saltwater,0_preflood,467.363779133723,soil,conc,ppm
Saltwater,0_preflood,4126.23128996642,soil,conc,ppm
Saltwater,0_preflood,18476.4748429048,soil,conc,ppm
Saltwater,0_preflood,22913.893650451,soil,conc,ppm
Saltwater,0_preflood,31381.5403084629,soil,conc,ppm
Saltwater,0_preflood,27694.1117322589,soil,conc,ppm
Saltwater,0_preflood,42746.3103258915,soil,conc,ppm
Saltwater,0_preflood,45140.5934490342,soil,conc,ppm
Freshwater,0_preflood,9754.95533170588,soil,conc,ppm
Freshwater,0_preflood,19880.1263528272,soil,conc,ppm
Freshwater,0_preflood,19714.6553900265,soil,conc,ppm
Freshwater,0_preflood,32354.4191435954,soil,conc,ppm
Freshwater,0_preflood,22895.8749131409,soil,conc,ppm
Freshwater,0_preflood,28397.2192629164,soil,conc,ppm
Freshwater,0_preflood,31053.1693220103,soil,conc,ppm
Freshwater,0_preflood,40804.9040440135,soil,conc,ppm
Freshwater,0_preflood,5340.84489489089,soil,conc,ppm
Freshwater,0_preflood,20232.0716692333,soil,conc,ppm
Freshwater,0_preflood,13382.121980793,soil,conc,ppm
Freshwater,0_preflood,30519.825040491,soil,conc,ppm
Freshwater,0_preflood,438.898754592645,soil,conc,ppm
Freshwater,0_preflood,9335.13131156682,soil,conc,ppm
Freshwater,0_preflood,23432.6101747444,soil,conc,ppm
Freshwater,0_preflood,24511.0969843941,soil,conc,ppm
Freshwater,0_preflood,24302.2820561165,soil,conc,ppm
Freshwater,0_preflood,13780.4697937322,soil,conc,ppm
Freshwater,0_preflood,27812.7517086682,soil,conc,ppm
Freshwater,0_preflood,19789.1978498292,soil,conc,ppm
Freshwater,0_preflood,37917.2444002566,soil,conc,ppm
Control,1_flood,4572.08976286509,soil,conc,ppm
Control,1_flood,7770.15337005773,soil,conc,ppm
Control,1_flood,11187.2787233423,soil,conc,ppm
Control,1_flood,18970.6196901613,soil,conc,ppm
Control,1_flood,4655.66006071317,soil,conc,ppm
Control,1_flood,15970.2154994224,soil,conc,ppm
Control,1_flood,15061.240755201,soil,conc,ppm
Control,1_flood,16479.039818198,soil,conc,ppm
Control,1_flood,4171.41480673082,soil,conc,ppm
Control,1_flood,11923.0844628289,soil,conc,ppm
Control,1_flood,8433.80289498623,soil,conc,ppm
Control,1_flood,12808.9576934921,soil,conc,ppm
Control,1_flood,646.516866369933,soil,conc,ppm
Control,1_flood,4864.17209098759,soil,conc,ppm
Control,1_flood,12025.3753348237,soil,conc,ppm
Control,1_flood,15601.6846704042,soil,conc,ppm
Control,1_flood,18745.3448411265,soil,conc,ppm
Control,1_flood,2715.76826885095,soil,conc,ppm
Control,1_flood,9186.48965733208,soil,conc,ppm
Control,1_flood,15578.583156846,soil,conc,ppm
Control,1_flood,14875.5495037502,soil,conc,ppm
Freshwater,1_flood,5730.34956368902,soil,conc,ppm
Freshwater,1_flood,8781.91396593758,soil,conc,ppm
Freshwater,1_flood,10161.9320438572,soil,conc,ppm
Freshwater,1_flood,17662.8095410931,soil,conc,ppm
Freshwater,1_flood,6770.18363303269,soil,conc,ppm
Freshwater,1_flood,24727.8833015841,soil,conc,ppm
Freshwater,1_flood,13134.4400672804,soil,conc,ppm
Freshwater,1_flood,19095.8273818099,soil,conc,ppm
Freshwater,1_flood,6439.35252377393,soil,conc,ppm
Freshwater,1_flood,13851.340538716,soil,conc,ppm
