plot,condition,co2
Saltwater,1_flood,3.613
Saltwater,1_flood,7.563
Saltwater,1_flood,2.928
Saltwater,1_flood,1.216
Saltwater,1_flood,0.789
Saltwater,1_flood,1.739
Saltwater,1_flood,1.433
Saltwater,1_flood,1.476
Freshwater,1_flood,4.27
Freshwater,1_flood,3.257
Freshwater,1_flood,1.751
Freshwater,1_flood,1.257
Freshwater,1_flood,6.256
Freshwater,1_flood,1.585
Freshwater,1_flood,4.982
Freshwater,1_flood,2.442
Freshwater,1_flood,2.721
Freshwater,1_flood,0.864
Freshwater,1_flood,1.398
Freshwater,1_flood,1.802
Freshwater,1_flood,11.008
Freshwater,1_flood,3.647
Freshwater,1_flood,1.229
Control,1_flood,15.21
Control,1_flood,20.39
Control,1_flood,7.26
Control,1_flood,29.58
Control,1_flood,10.55
Control,1_flood,12.82
Control,1_flood,6.011
Control,1_flood,11.35
Control,1_flood,22.955
Control,1_flood,23.884
Control,1_flood,6.908
Control,1_flood,18.923
Control,1_flood,16.069
Control,1_flood,25.692
Control,1_flood,19.007
Control,1_flood,21.315
Saltwater,1_flood,1.468
Saltwater,1_flood,4.579
Saltwater,1_flood,0.721
Saltwater,1_flood,0.827
Saltwater,1_flood,7.963
Saltwater,1_flood,0.483
Saltwater,1_flood,3.114
Saltwater,1_flood,2.338
Saltwater,1_flood,1.476
Saltwater,1_flood,3.846
Saltwater,1_flood,2.892
Saltwater,1_flood,1.219
Saltwater,1_flood,0.747
Saltwater,1_flood,0.73
Saltwater,1_flood,2.362
Saltwater,1_flood,3.713
Freshwater,1_flood,2.35
Freshwater,1_flood,4.56
Freshwater,1_flood,3.53
Freshwater,1_flood,4.34
Freshwater,1_flood,5.07
Freshwater,1_flood,3.48
Freshwater,1_flood,2.03
Freshwater,1_flood,7.72
Freshwater,1_flood,2.37
Freshwater,1_flood,2.96
Freshwater,1_flood,1.08
Freshwater,1_flood,0.64
Freshwater,1_flood,2.25
Freshwater,1_flood,17.33
Freshwater,1_flood,3.63
Freshwater,1_flood,1.44
Control,1_flood,19.667
Control,1_flood,15.73
Control,1_flood,35.647
Control,1_flood,16.523
Control,1_flood,13.276
Control,1_flood,7.636
Control,1_flood,14.632
Control,1_flood,14.813
Control,1_flood,7.455
Control,1_flood,9.251
Control,1_flood,5.594
Control,1_flood,8.523
Control,1_flood,10.976
Control,1_flood,11.334
Control,1_flood,11.931
Control,1_flood,14.412
Saltwater,1_flood,2.987
Saltwater,1_flood,3.61
Saltwater,1_flood,0.984
Saltwater,1_flood,0.973
Saltwater,1_flood,3.555
Saltwater,1_flood,1.14
Saltwater,1_flood,4.491
Saltwater,1_flood,3.145
Saltwater,1_flood,1.367
Saltwater,1_flood,4.882
Saltwater,1_flood,3.844
Saltwater,1_flood,1.598
Saltwater,1_flood,1.087
Saltwater,1_flood,1.402
Saltwater,1_flood,2.188
Saltwater,1_flood,3.713
Freshwater,1_flood,1.425
Freshwater,1_flood,5.268
Freshwater,1_flood,6.7
Freshwater,1_flood,6.138
Freshwater,1_flood,5.1
Freshwater,1_flood,6.535
Freshwater,1_flood,2.035
Freshwater,1_flood,7.05
Freshwater,1_flood,2.53
Freshwater,1_flood,1.938
Freshwater,1_flood,2.563
Freshwater,1_flood,1.007
Freshwater,1_flood,7.116
Freshwater,1_flood,6.403
Freshwater,1_flood,5.14
Freshwater,1_flood,6.615
Control,2_postflood,12.46
Control,2_postflood,12.121
Control,2_postflood,25.853
Control,2_postflood,12.777
Control,2_postflood,10.358
Control,2_postflood,9.919
Control,2_postflood,7.038
Control,2_postflood,6.416
Control,2_postflood,13.383
Control,2_postflood,9.168
Control,2_postflood,4.864
Control,2_postflood,10.305
Control,2_postflood,10.613
Control,2_postflood,14.396
Control,2_postflood,4.533
Control,2_postflood,6.507
Saltwater,2_postflood,17.003
Saltwater,2_postflood,10.524
Saltwater,2_postflood,8.259
Saltwater,2_postflood,5.213
Saltwater,2_postflood,8.881
Saltwater,2_postflood,9.093
Saltwater,2_postflood,7.875
Saltwater,2_postflood,13.726
Saltwater,2_postflood,4.843
Saltwater,2_postflood,7.155
Saltwater,2_postflood,14.111
Saltwater,2_postflood,25.258
Saltwater,2_postflood,8.234
Saltwater,2_postflood,6.481
Saltwater,2_postflood,6.335
Saltwater,2_postflood,3.734
Freshwater,2_postflood,8.622
Freshwater,2_postflood,10.425
Freshwater,2_postflood,8.088
Freshwater,2_postflood,8.702
Freshwater,2_postflood,11.387
Freshwater,2_postflood,12.622
Freshwater,2_postflood,11.195
Freshwater,2_postflood,7.712
Freshwater,2_postflood,21.054
Freshwater,2_postflood,5.381
Freshwater,2_postflood,6.048
Freshwater,2_postflood,23.866
Freshwater,2_postflood,6.091
Freshwater,2_postflood,12.671
Freshwater,2_postflood,3.699
Freshwater,2_postflood,3.269
Control,2_postflood,10.931
Control,2_postflood,12.947
Control,2_postflood,30.097
Control,2_postflood,NA
Control,2_postflood,6.289
Control,2_postflood,8.497
Control,2_postflood,7.997
Control,2_postflood,6.402
Control,2_postflood,13.895
Control,2_postflood,13.443
Control,2_postflood,5.358
Control,2_postflood,3.451
Control,2_postflood,11.149
Control,2_postflood,12.684
Control,2_postflood,6.001
Control,2_postflood,18.017
Saltwater,2_postflood,7.26
Saltwater,2_postflood,4.323
Saltwater,2_postflood,7.287
Saltwater,2_postflood,3.793
Saltwater,2_postflood,4.819
Saltwater,2_postflood,4.479
Saltwater,2_postflood,5.26
Saltwater,2_postflood,12.424
Saltwater,2_postflood,11.997
Saltwater,2_postflood,19.367
Saltwater,2_postflood,6.304
Saltwater,2_postflood,17.957
Saltwater,2_postflood,9.126
Saltwater,2_postflood,5.072
Saltwater,2_postflood,3.211
Saltwater,2_postflood,8.506
Freshwater,2_postflood,10.332
Freshwater,2_postflood,9.255
Freshwater,2_postflood,12.524
Freshwater,2_postflood,18.467
Freshwater,2_postflood,17.812
Freshwater,2_postflood,24.03
Freshwater,2_postflood,13.381
Freshwater,2_postflood,13.19
Freshwater,2_postflood,20.225
Freshwater,2_postflood,6.212
Freshwater,2_postflood,7.373
Freshwater,2_postflood,12.599
Freshwater,2_postflood,28.409
Freshwater,2_postflood,11.156
Freshwater,2_postflood,3.621
Freshwater,2_postflood,3.587
Control,0_preflood,5350.6484473347
Control,0_preflood,8460.5761233633
Control,0_preflood,11944.4794047108
Control,0_preflood,19579.3338601748
Control,0_preflood,5296.5331333551
Control,0_preflood,20221.3889738047
Control,0_preflood,18226.8056229812
Control,0_preflood,15616.5118970468
Control,0_preflood,5575.95284739419
Control,0_preflood,11996.3636163257
Control,0_preflood,7451.96271161387
Control,0_preflood,11242.7386089456
Control,0_preflood,409.163035989522
Control,0_preflood,5263.3768836431
Control,0_preflood,12548.5983903837
Control,0_preflood,15439.6933407618
Control,0_preflood,10603.6607610542
Control,0_preflood,2348.73715433623
Control,0_preflood,8830.64360566583
Control,0_preflood,14127.1993542789
Control,0_preflood,13189.5970548806
Saltwater,0_preflood,3969.4113896463
Saltwater,0_preflood,23205.5844274962
Saltwater,0_preflood,21775.5660157863
Saltwater,0_preflood,34688.0931150809
Saltwater,0_preflood,16093.6058030521
Saltwater,0_preflood,34862.8135486123
Saltwater,0_preflood,21775.1966279776
Saltwater,0_preflood,11302.5277196674
Saltwater,0_preflood,12878.8163158799
Saltwater,0_preflood,34126.8822172706
Saltwater,0_preflood,14764.6445080558
Saltwater,0_preflood,28443.2080451038
Saltwater,0_preflood,425.704222064651
Saltwater,0_preflood,3893.20668470438
Saltwater,0_preflood,19339.7932539667
Saltwater,0_preflood,21771.0594845198
Saltwater,0_preflood,29670.6985090408
Saltwater,0_preflood,25968.5313592682
Saltwater,0_preflood,39329.9606870053
Saltwater,0_preflood,48897.8954231384
Saltwater,0_preflood,39915.8171394144
Freshwater,0_preflood,10362.509624
Freshwater,0_preflood,19201.8860094537
Freshwater,0_preflood,18743.800800086
Freshwater,0_preflood,28469.5158448419
Freshwater,0_preflood,22762.3338325272
Freshwater,0_preflood,28660.3933011273
Freshwater,0_preflood,29072.4749527953
Freshwater,0_preflood,36779.6555412094
Freshwater,0_preflood,5315.13550340297
Freshwater,0_preflood,20655.18324087
Freshwater,0_preflood,12557.9734529694
Freshwater,0_preflood,26888.0188805262
Freshwater,0_preflood,422.357568517516
Freshwater,0_preflood,10552.3749576895
Freshwater,0_preflood,22972.3381895489
Freshwater,0_preflood,23396.8682103713
Freshwater,0_preflood,20779.1645649937
Freshwater,0_preflood,12292.287577659
Freshwater,0_preflood,24935.8412501455
Freshwater,0_preflood,16819.4528472153
Freshwater,0_preflood,32019.6503602955
Control,0_preflood,4445.16811178393
Control,0_preflood,7444.11691455635
Control,0_preflood,10616.4563547487
Control,0_preflood,17157.7455902105
Control,0_preflood,4005.49319080348
Control,0_preflood,15563.5860118114
Control,0_preflood,14789.4156545095
Control,0_preflood,14897.6832212496
Control,0_preflood,4537.36730884405
Control,0_preflood,10483.2772741876
Control,0_preflood,7864.0295877695
Control,0_preflood,12463.9273168656
Control,0_preflood,662.016378824431
Control,0_preflood,4673.10994079779
Control,0_preflood,10946.2901169239
Control,0_preflood,15837.826908772
Control,0_preflood,16190.5996538696
Control,0_preflood,15392.7072114908
Control,0_preflood,15006.6821758509
Saltwater,0_preflood,4416.98382197749
Saltwater,0_preflood,22633.8681404056
Saltwater,0_preflood,22728.6752153953
Saltwater,0_preflood,37941.2102812873
Saltwater,0_preflood,16069.0045749904
Saltwater,0_preflood,37033.1590065877
Saltwater,0_preflood,24932.1178210334
Saltwater,0_preflood,14533.1491683219
Saltwater,0_preflood,11920.2845032387
Saltwater,0_preflood,34982.3326680064
Saltwater,0_preflood,19710.9245731583
Saltwater,0_preflood,40067.2661409955
Saltwater,0_preflood,467.363779133723
Saltwater,0_preflood,4126.23128996642
Saltwater,0_preflood,18476.4748429048
Saltwater,0_preflood,22913.893650451
Saltwater,0_preflood,31381.5403084629
Saltwater,0_preflood,27694.1117322589
Saltwater,0_preflood,42746.3103258915
Saltwater,0_preflood,45140.5934490342
Freshwater,0_preflood,9754.95533170588
Freshwater,0_preflood,19880.1263528272
Freshwater,0_preflood,19714.6553900265
Freshwater,0_preflood,32354.4191435954
Freshwater,0_preflood,22895.8749131409
Freshwater,0_preflood,28397.2192629164
Freshwater,0_preflood,31053.1693220103
Freshwater,0_preflood,40804.9040440135
Freshwater,0_preflood,5340.84489489089
Freshwater,0_preflood,20232.0716692333
Freshwater,0_preflood,13382.121980793
Freshwater,0_preflood,30519.825040491
Freshwater,0_preflood,438.898754592645
Freshwater,0_preflood,9335.13131156682
Freshwater,0_preflood,23432.6101747444
Freshwater,0_preflood,24511.0969843941
Freshwater,0_preflood,24302.2820561165
Freshwater,0_preflood,13780.4697937322
Freshwater,0_preflood,27812.7517086682
Freshwater,0_preflood,19789.1978498292
Freshwater,0_preflood,37917.2444002566
Control,1_flood,4572.08976286509
Control,1_flood,7770.15337005773
Control,1_flood,11187.2787233423
Control,1_flood,18970.6196901613
Control,1_flood,4655.66006071317
Control,1_flood,15970.2154994224
Control,1_flood,15061.240755201
Control,1_flood,16479.039818198
Control,1_flood,4171.41480673082
Control,1_flood,11923.0844628289
Control,1_flood,8433.80289498623
Control,1_flood,12808.9576934921
Control,1_flood,646.516866369933
Control,1_flood,4864.17209098759
Control,1_flood,12025.3753348237
Control,1_flood,15601.6846704042
Control,1_flood,18745.3448411265
Control,1_flood,2715.76826885095
Control,1_flood,9186.48965733208
Control,1_flood,15578.583156846
Control,1_flood,14875.5495037502
Freshwater,1_flood,5730.34956368902
Freshwater,1_flood,8781.91396593758
Freshwater,1_flood,10161.9320438572
Freshwater,1_flood,17662.8095410931
Freshwater,1_flood,6770.18363303269
Freshwater,1_flood,24727.8833015841
Freshwater,1_flood,13134.4400672804
Freshwater,1_flood,19095.8273818099
Freshwater,1_flood,6439.35252377393
Freshwater,1_flood,13851.340538716
Freshwater,1_flood,7731.65577263142
Freshwater,1_flood,16456.9947537727
Freshwater,1_flood,423.066793110287
Freshwater,1_flood,4670.59810369839
Freshwater,1_flood,19074.6392971009
Saltwater,1_flood,8796.96282526542
Saltwater,1_flood,11453.2896599243
Saltwater,1_flood,15236.3970663467
Saltwater,1_flood,18306.8593488901
Saltwater,1_flood,9042.87167729612
Saltwater,1_flood,14590.2565235522
Saltwater,1_flood,15115.585089622
Saltwater,1_flood,15136.8248886243
Saltwater,1_flood,5729.33005333691
Saltwater,1_flood,24701.1987262812
Saltwater,1_flood,14234.8389617441
Saltwater,1_flood,12925.2705267064
Saltwater,1_flood,402.469728895253
Saltwater,1_flood,3645.09628133362
Saltwater,1_flood,20284.4065339748
Saltwater,1_flood,14984.3046623978
Saltwater,1_flood,14654.2123287565
Saltwater,1_flood,14493.2774482471
Saltwater,1_flood,17918.1230067342
Saltwater,1_flood,19111.7701596349
Saltwater,1_flood,22764.3211389382
Freshwater,1_flood,56.7744542130261
Freshwater,1_flood,17031.3336943054
Freshwater,1_flood,30791.3250799108
Control,2_postflood,4677.29879854883
Control,2_postflood,8673.43954202462
Control,2_postflood,11832.6361639822
Control,2_postflood,20618.0376028237
Control,1_flood,5011.01852047189
Control,1_flood,16237.053864696
Control,1_flood,16358.6193925505
Control,1_flood,17491.7312713558
Control,1_flood,5011.72774506466
Control,1_flood,12535.1305108772
Control,1_flood,9636.66996759293
Control,1_flood,15006.5787472645
Control,1_flood,446.722388381641
Control,1_flood,5482.38691544175
Control,1_flood,11920.6021767542
Control,1_flood,17274.7233214805
Control,1_flood,18855.703142864
Control,1_flood,2586.57118886799
Control,1_flood,9468.55418808171
Control,1_flood,16365.5491078424
Control,1_flood,16668.8164988134
Saltwater,2_postflood,6708.27423628879
Saltwater,2_postflood,18467.602147739
Saltwater,2_postflood,16004.9231779311
Saltwater,2_postflood,20472.4988061823
Saltwater,2_postflood,8145.42183270724
Saltwater,2_postflood,18491.5680287697
Saltwater,2_postflood,16116.566949243
Saltwater,1_flood,14312.8093404118
Saltwater,2_postflood,5663.32045191606
Saltwater,2_postflood,14608.8736691125
Saltwater,2_postflood,16349.672819823
Saltwater,2_postflood,19244.4690360446
Saltwater,2_postflood,527.522277664216
Freshwater,2_postflood,8099.8984791588
Freshwater,2_postflood,10013.1647977674
Freshwater,2_postflood,10876.4832088293
Freshwater,2_postflood,18495.2028048077
Freshwater,2_postflood,14415.1667022121
Freshwater,2_postflood,36005.669877812
Freshwater,2_postflood,13032.8067055852
Freshwater,2_postflood,19874.659413258
Freshwater,2_postflood,6802.64543366427
Freshwater,2_postflood,21304.0277024245
Freshwater,2_postflood,10282.2121021373
Freshwater,2_postflood,17062.317943702
Freshwater,2_postflood,520.784644032899
Freshwater,2_postflood,8725.6044883741
Freshwater,2_postflood,16961.6819290904
Freshwater,2_postflood,15199.0445711275
Freshwater,2_postflood,16109.4747033153
Freshwater,2_postflood,5850.58529543208
Freshwater,2_postflood,10348.7019077095
Freshwater,2_postflood,8670.79472531408
Freshwater,2_postflood,19596.2961483519
Control,0_preflood,3007.0527193066
Control,0_preflood,11836.7659196839
Freshwater,1_flood,14378.0653907028
Freshwater,1_flood,16466.8278572412
Freshwater,1_flood,3848.67329048335
Saltwater,2_postflood,3080.46485241448
Saltwater,2_postflood,26931.0008459505
Saltwater,2_postflood,17191.3672685615
Saltwater,2_postflood,15578.5609935775
Saltwater,2_postflood,12649.3008948009
Saltwater,2_postflood,24732.8626492459
Saltwater,2_postflood,23622.1652226746
Saltwater,2_postflood,24759.6580408915
Control,2_postflood,6288.30984878241
Control,2_postflood,10334.5395791226
Control,2_postflood,15882.9587112432
Control,2_postflood,873.29142990819
Control,2_postflood,6449.88007632286
Control,2_postflood,19364.9928902785
Control,2_postflood,18998.6414493319
Control,2_postflood,19658.2941981698
Control,2_postflood,6860.04091138543
Control,2_postflood,14344.5249776697
Control,2_postflood,11232.8685666963
Control,2_postflood,17087.2811718163
Control,2_postflood,847.197875099188
Control,2_postflood,7123.65821496686
Control,2_postflood,13820.5040444429
Control,2_postflood,18949.4463809646
Control,2_postflood,20844.9673092416
Control,2_postflood,4214.14558844522
Control,2_postflood,11383.5270783667
Control,2_postflood,18649.2449088061
Control,2_postflood,18782.1801934135
Saltwater,2_postflood,10175.2817192648
Saltwater,2_postflood,7975.64380805671
Saltwater,2_postflood,18957.6394025623
Saltwater,2_postflood,22068.0029562052
Saltwater,2_postflood,7852.9110147266
Saltwater,2_postflood,21164.3030698926
Saltwater,2_postflood,16799.9934974512
Saltwater,2_postflood,15062.8586738033
Saltwater,2_postflood,6554.80837727197
Saltwater,2_postflood,10669.6999134997
Saltwater,2_postflood,19713.362532696
Saltwater,2_postflood,21959.6688996596
Saltwater,2_postflood,721.716836472094
Saltwater,2_postflood,3205.02242151974
Saltwater,2_postflood,16388.790988768
Saltwater,2_postflood,17541.5321357294
Saltwater,2_postflood,15846.4188692032
Saltwater,2_postflood,17698.1082400958
Saltwater,2_postflood,25135.5470750597
Saltwater,2_postflood,24706.4588086775
Saltwater,2_postflood,22215.5807735508
Freshwater,2_postflood,8426.38558778684
Freshwater,2_postflood,10704.6513879622
Freshwater,2_postflood,13676.4132480117
Freshwater,2_postflood,21115.373960747602
Freshwater,2_postflood,10114.0815471137
Freshwater,2_postflood,18781.5448463824
Freshwater,2_postflood,16043.7015100921
Freshwater,2_postflood,19807.2239748954
Freshwater,2_postflood,8131.99827973783
Freshwater,2_postflood,17349.6868833851
Freshwater,2_postflood,10255.0694859515
Freshwater,2_postflood,20250.0830187871
Freshwater,2_postflood,687.563239676506
Freshwater,2_postflood,5349.60677371407
Freshwater,2_postflood,18211.6533350669
Freshwater,2_postflood,15899.1009584849
Freshwater,2_postflood,18293.8790612912
Freshwater,2_postflood,5225.35210261197
Freshwater,2_postflood,11217.420768535
Freshwater,2_postflood,8546.1263398662
Freshwater,2_postflood,20628.3582981997
Control,2_postflood,4200.71464771964
Control,2_postflood,7938.47600674184
Control,2_postflood,11844.722533084
Control,2_postflood,18920.7744992506
Control,2_postflood,5096.87902273413
Control,2_postflood,17768.6982503449
Control,2_postflood,18401.1566687039
Control,2_postflood,17671.3941137681
Control,2_postflood,4751.16897253955
Control,2_postflood,10816.5241797155
Control,2_postflood,8707.20158774295
Control,2_postflood,14345.2859165557
Control,2_postflood,670.778257647612
Control,2_postflood,4958.05569645554
Control,2_postflood,11228.4950150408
Control,2_postflood,15786.9326564846
Control,2_postflood,17178.0397564223
Control,2_postflood,2639.40842102937
Control,2_postflood,9423.27463048704
Control,2_postflood,16624.2387780553
Control,2_postflood,16078.7859641657
Saltwater,2_postflood,14386.7755552328
Saltwater,2_postflood,26641.4229671712
Saltwater,2_postflood,36808.9923209791
Saltwater,2_postflood,24561.3632774066
Saltwater,2_postflood,10404.7380382945
Saltwater,2_postflood,20547.2481231578
Saltwater,2_postflood,18044.8673516671
Saltwater,2_postflood,15560.7860522212
Saltwater,2_postflood,18358.3372339154
Saltwater,2_postflood,34564.6141583771
Saltwater,2_postflood,25156.1367515185
Saltwater,2_postflood,20445.3488022404
Saltwater,2_postflood,561.306486651069
Saltwater,2_postflood,5892.85064850748
Saltwater,2_postflood,35879.1619410766
Saltwater,2_postflood,32076.8094298191
Saltwater,2_postflood,16565.8311777382
Saltwater,2_postflood,38999.7427615091
Saltwater,2_postflood,39947.1264500827
Saltwater,2_postflood,24984.711257241
Freshwater,2_postflood,24144.1840739781
Freshwater,2_postflood,15515.8832701914
Freshwater,2_postflood,11205.3048484085
Freshwater,2_postflood,16716.6374445321
Freshwater,2_postflood,28221.4276047396
Freshwater,2_postflood,44443.7359601004
Freshwater,2_postflood,20233.9555470578
Freshwater,2_postflood,32131.7891112711
Freshwater,2_postflood,9388.25666621901
Freshwater,2_postflood,30908.140280545
Freshwater,2_postflood,11964.3081422837
Freshwater,2_postflood,18392.069728609
Freshwater,2_postflood,563.41938491703
Freshwater,2_postflood,14080.7451434525
Freshwater,2_postflood,27148.7254081748
Freshwater,2_postflood,27562.7795907414
Freshwater,2_postflood,16253.7206426261
Freshwater,2_postflood,21029.5060707292
Freshwater,2_postflood,35595.2061447462
Freshwater,2_postflood,10170.7973512668
Freshwater,2_postflood,16702.4529526767
Control,2_postflood,3506.25817954269
Control,2_postflood,6669.92439398598
Control,2_postflood,9838.34832340577
Control,2_postflood,17307.8278568993
Control,2_postflood,4378.05034693688
Control,2_postflood,13887.6956868517
Control,2_postflood,13919.2709567423
Control,2_postflood,14807.4270040634
Control,2_postflood,4093.94679548303
Control,2_postflood,10227.5427064446
Control,2_postflood,8557.41483130112
Control,2_postflood,13239.5530621338
Control,2_postflood,551.458607670209
Control,2_postflood,4317.89184840638
Control,2_postflood,9382.38340006013
Control,2_postflood,13354.3218543076
Control,2_postflood,16199.6644306959
Control,2_postflood,2194.48080540872
Control,2_postflood,7765.45475713063
Control,2_postflood,13401.7807999738
Control,2_postflood,13835.7745364559
Saltwater,2_postflood,7051.67191880069
Saltwater,2_postflood,27956.9902602228
Saltwater,2_postflood,29033.7483349276
Saltwater,2_postflood,36219.3163986278
Saltwater,2_postflood,15047.5290797408
Saltwater,2_postflood,41328.9545282651
Saltwater,2_postflood,16193.8650420988
Saltwater,2_postflood,15629.8320214298
Saltwater,2_postflood,15040.5993644489
Saltwater,2_postflood,37134.8884091132
Saltwater,2_postflood,19346.2501528633
Saltwater,2_postflood,22032.3496449062
Saltwater,2_postflood,771.126149768415
Saltwater,2_postflood,4712.08774237544
Saltwater,2_postflood,28493.0310727459
Saltwater,2_postflood,26233.3602548623
Saltwater,2_postflood,21212.404750346
Saltwater,2_postflood,34438.1948747158
Saltwater,2_postflood,47797.3931000882
Saltwater,2_postflood,28561.0575316024
Freshwater,2_postflood,18943.8981760774
Freshwater,2_postflood,24616.0696118802
Freshwater,2_postflood,17741.6664505017
Freshwater,2_postflood,25125.4332368565
Freshwater,2_postflood,27167.7932068617
Freshwater,2_postflood,37438.6655552602
Freshwater,2_postflood,32173.7072398063
Freshwater,2_postflood,31989.2054170996
Freshwater,2_postflood,7804.27741582862
Freshwater,2_postflood,35238.2888684347
Freshwater,2_postflood,12237.773324846
Freshwater,2_postflood,18142.0976106822
Freshwater,2_postflood,547.439668311178
Freshwater,2_postflood,12286.7172095033
Freshwater,2_postflood,29927.8219749446
Freshwater,2_postflood,20346.5597266724
Freshwater,2_postflood,13993.3923144429
Freshwater,2_postflood,24953.5644772085
Freshwater,2_postflood,13213.5038338619
Freshwater,2_postflood,13642.00107975
Control,0_preflood,7199.719608
Control,0_preflood,7603.810098
Control,1_flood,7700.571972
Control,1_flood,6829.457112
Control,1_flood,7780.185216000001
Control,2_postflood,7732.316892
Control,2_postflood,6882.585186
Control,0_preflood,7958.539596
Control,0_preflood,7902.971496
Control,1_flood,7645.172178000001
Control,1_flood,7224.549672
Control,1_flood,7534.612656
Control,2_postflood,8036.920164
Control,2_postflood,6399.004854000001
Saltwater,0_preflood,6183.96357
Saltwater,0_preflood,7250.906118000001
Saltwater,1_flood,6138.29766
Saltwater,1_flood,6072.603492
Saltwater,1_flood,6898.356474
Saltwater,2_postflood,7843.733561999999
Saltwater,2_postflood,6477.727236000001
Saltwater,0_preflood,5982.970968600001
Saltwater,0_preflood,7106.332842
Saltwater,1_flood,6226.93734
Saltwater,1_flood,6095.36139
Saltwater,1_flood,7843.733561999999
Saltwater,2_postflood,7988.57523
Saltwater,2_postflood,6488.973288
Control,0_preflood,2503.4749865999997
Control,0_preflood,2673.0984468
Control,1_flood,2580.4642932
Control,1_flood,2426.7801222
Control,1_flood,2695.1294783999997
Control,2_postflood,2528.8652052
Control,2_postflood,2227.0146852000003
Control,0_preflood,2859.9851364
Control,0_preflood,3014.382186
Control,1_flood,2624.2009758
Control,1_flood,2759.7225168
Control,1_flood,3063.9584226
Control,2_postflood,2783.2536029999997
Control,2_postflood,2502.7479851999997
Control,0_preflood,3862.4541533999995
Control,0_preflood,4294.7629692
Control,1_flood,3666.5919191999997
Control,1_flood,4121.0869758
Control,1_flood,4588.6075896
Control,2_postflood,4252.554564
Control,2_postflood,4261.6626534
Control,0_preflood,3928.6831728000006
Control,0_preflood,4454.7869364
Control,1_flood,4395.5366346
Control,1_flood,4106.8831926
Control,1_flood,4692.6096366
Control,2_postflood,4449.3367524000005
Control,2_postflood,4135.8844152
Control,0_preflood,3095.8601994
