date,plot,plot_id,collection_time,a,gs,ci
6/13/23,Control,C,14:09,2.95,0.05,298
6/13/23,Control,C,14:12,2.56,0.05,290
6/13/23,Control,C,14:15,3.33,0.06,294
6/13/23,Control,C,14:17,1.95,0.03,274
6/13/23,Control,C,14:22,2.1,0.03,267
6/13/23,Control,C,14:25,3.22,0.05,275
6/13/23,Control,C,14:36,2.25,0.04,288
6/13/23,Control,C,14:38,2.81,0.05,294
6/13/23,Control,C,14:41,1.65,0.05,330
6/13/23,Control,C,14:43,2.75,0.05,294
6/13/23,Control,C,14:46,2.45,0.04,288
6/13/23,Control,C,14:54,2,0.05,312
6/13/23,Control,C,15:09,1.94,0.04,310
6/13/23,Control,C,15:11,3.3,0.06,289
6/13/23,Control,C,15:14,4.56,0.07,275
6/13/23,Control,C,15:16,2.58,0.05,296
6/13/23,Control,C,15:18,2.8,0.04,219
6/13/23,Control,C,15:21,2.82,0.06,305
6/13/23,Control,C,15:36,2.73,0.05,297
6/13/23,Control,C,15:38,3.45,0.06,293
6/13/23,Control,C,15:42,2.02,0.04,289
6/13/23,Control,C,15:44,1.33,0.03,300
6/13/23,Control,C,15:47,1.93,0.04,294
6/13/23,Control,C,15:49,1.57,0.04,324
6/13/23,Salt,S,8:16,1.8,0.026,278
6/13/23,Salt,S,8:16,1.8,0.05,330
6/13/23,Salt,S,8:21,1.2,0.021,292
6/13/23,Salt,S,8:25,1.37,0.024,296
6/13/23,Salt,S,8:27,0.7,0.024,343
6/13/23,Salt,S,8:28,0.7,0.03,350
6/13/23,Salt,S,8:33,1.57,0.05,338
6/13/23,Salt,S,8:37,1.4,0.035,326
6/13/23,Salt,S,8:43,3.5,0.058,289
6/13/23,Salt,S,8:48,1.78,0.041,319
6/13/23,Salt,S,9:01,1.4,0.025,310
6/13/23,Salt,S,9:07,0.24,0.036,375
6/13/23,Salt,S,9:29,2.8,0.058,307
6/13/23,Salt,S,9:34,2.48,0.035,275
6/13/23,Salt,S,9:40,2.8,0.06,309
6/13/23,Salt,S,9:46,1.35,0.046,325
6/13/23,Salt,S,9:52,5.7,0.08,271
6/13/23,Salt,S,9:57,1.7,0.028,291
6/13/23,Salt,S,10:01,3.16,0.062,302
6/13/23,Salt,S,10:05,1.55,0.03,299
6/13/23,Salt,S,10:09,1.45,0.023,293
6/13/23,Salt,S,10:12,2.09,0.039,298
6/13/23,Salt,S,10:15,1.9,0.027,280
6/13/23,Salt,S,10:18,2.8,0.04,275
6/13/23,Salt,S,10:25,1.45,0.026,298
6/13/23,Salt,S,10:28,1.97,0.026,273
6/13/23,Salt,S,10:31,1.4,0.02,299
6/13/23,Salt,S,10:36,1.32,0.015,268
6/13/23,Salt,S,10:39,0.75,0.013,294
6/13/23,Salt,S,10:42,1.01,0.014,280
6/13/23,Salt,S,10:46,3.86,0.041,231
6/13/23,Salt,S,10:50,2.94,0.03,258
6/13/23,Salt,S,10:58,1.29,0.018,284
6/13/23,Salt,S,11:01,2,0.027,270
6/13/23,Salt,S,11:05,1,0.014,279
6/13/23,Salt,S,11:08,0.38,0.009,323
6/13/23,Salt,S,11:14,1.86,0.02,241
6/13/23,Salt,S,11:20,0.22,0.006,322
6/13/23,Salt,S,11:23,1.1,0.014,268
6/13/23,Salt,S,11:28,4.07,0.044,232
6/13/23,Salt,S,11:31,2.37,0.024,227
6/13/23,Salt,S,11:36,1.6,0.02,260
6/13/23,Salt,S,11:42,2.3,0.027,251
6/13/23,Salt,S,11:46,2.37,0.031,266
6/13/23,Salt,S,11:49,1.1,0.012,245
6/13/23,Salt,S,11:53,3,0.03,241
6/13/23,Salt,S,11:56,0.63,0.012,308
6/13/23,Salt,S,12:00,1.3,0.015,260
6/13/23,Salt,S,12:11,1.5,0.021,268
6/13/23,Salt,S,12:15,2.9,0.03,250
6/13/23,Salt,S,12:19,2.2,0.034,279
6/13/23,Salt,S,12:23,2.85,0.043,275
6/13/23,Salt,S,12:28,0.98,0.017,292
6/13/23,Salt,S,12:32,1.15,0.018,285
6/13/23,Salt,S,12:39,0.79,0.012,290
6/13/23,Salt,S,12:43,2,0.03,290
6/13/23,Salt,S,12:46,1.85,0.025,267
6/13/23,Salt,S,12:51,2.72,0.031,247
6/13/23,Salt,S,12:54,1.1,0.017,268
6/13/23,Salt,S,12:59,2,0.023,245
6/13/23,Salt,S,13:44,1.05,0.02,319
6/13/23,Salt,S,13:47,2.11,0.03,292
6/13/23,Salt,S,13:50,1.76,0.03,294
6/13/23,Salt,S,14:03,1.7,0.021,267
6/13/23,Salt,S,14:07,1.26,0.016,261
6/13/23,Salt,S,14:11,1.4,0.019,273
6/13/23,Salt,S,14:15,2.5,0.033,261
6/13/23,Salt,S,14:19,0.98,0.02,316
6/13/23,Salt,S,14:23,0.95,0.02,312
6/13/23,Salt,S,14:28,1.52,0.025,284
6/13/23,Salt,S,14:37,2.5,0.03,245
6/13/23,Salt,S,14:41,1.7,0.021,255
6/13/23,Salt,S,14:46,1.7,0.035,305
6/13/23,Salt,S,14:49,2,0.03,277
6/13/23,Salt,S,14:53,1.7,0.02,249
6/13/23,Salt,S,14:57,2.8,0.04,280
6/13/23,Salt,S,15:02,1.2,0.019,287
6/13/23,Salt,S,15:06,1.3,0.021,290
6/13/23,Salt,S,15:20,1.79,0.02,247
6/13/23,Salt,S,15:24,1.58,0.024,280
6/13/23,Salt,S,15:28,1.9,0.033,293
6/13/23,Salt,S,15:31,0.86,0.011,268
6/13/23,Salt,S,15:36,1.76,0.017,224
6/13/23,Salt,S,15:40,2,0.028,268
6/13/23,Fresh,F,8:04,1.51,0.025,384
6/13/23,Fresh,F,8:07,1.6,0.02,289
6/13/23,Fresh,F,8:09,1.02,0.02,320
6/13/23,Fresh,F,8:12,1.19,0.02,314
6/13/23,Fresh,F,8:15,1.5,0.03,308
6/13/23,Fresh,F,8:16,2.18,0.04,300
6/13/23,Fresh,F,8:23,1.19,0.01,282
6/13/23,Fresh,F,8:26,1.72,0.02,294
6/13/23,Fresh,F,8:30,1.45,0.02,299
6/13/23,Fresh,F,8:34,2.2,0.03,275
6/13/23,Fresh,F,8:42,2.58,0.03,262
6/13/23,Fresh,F,8:46,1.35,0.02,310
6/13/23,Fresh,F,9:06,1.84,0.02,273
6/13/23,Fresh,F,9:09,3.05,0.03,262
6/13/23,Fresh,F,9:14,3.17,0.04,268
6/13/23,Fresh,F,9:18,2.15,0.03,273
6/13/23,Fresh,F,9:22,2.68,0.05,311
6/13/23,Fresh,F,9:27,2.54,0.03,261
6/13/23,Fresh,F,9:34,3.11,0.05,298
6/13/23,Fresh,F,9:37,4.43,0.05,259
6/13/23,Fresh,F,9:40,2.56,0.03,270
6/13/23,Fresh,F,9:45,2.54,0.03,260
6/13/23,Fresh,F,9:49,4.18,0.04,241
6/13/23,Fresh,F,9:53,3.32,0.04,271
6/13/23,Fresh,F,10:02,3.03,0.04,281
6/13/23,Fresh,F,10:05,3.41,0.03,243
6/13/23,Fresh,F,10:10,2.99,0.03,247
6/13/23,Fresh,F,10:16,2.57,0.03,278
6/13/23,Fresh,F,10:20,4.89,0.05,248
6/13/23,Fresh,F,10:24,2.69,0.03,261
6/13/23,Fresh,F,10:36,2.66,0.03,274
6/13/23,Fresh,F,10:40,2.1,0.02,241
6/13/23,Fresh,F,10:47,2.64,0.03,276
6/13/23,Fresh,F,10:52,3.81,0.04,264
6/13/23,Fresh,F,10:56,3.12,0.03,225
6/13/23,Fresh,F,11:00,2.27,0.03,278
6/13/23,Fresh,F,11:27,2.07,0.02,273
6/13/23,Fresh,F,11:31,1.75,0.02,257
6/13/23,Fresh,F,11:34,4.35,0.04,232
6/13/23,Fresh,F,11:38,2.12,0.02,249
6/13/23,Fresh,F,11:41,4.4,0.04,230
6/13/23,Fresh,F,11:45,2.28,0.02,245
6/13/23,Fresh,F,12:01,2.66,0.03,275
6/13/23,Fresh,F,12:04,2.13,0.02,262
6/13/23,Fresh,F,12:07,3.93,0.05,259
6/13/23,Fresh,F,12:11,2.01,0.02,259
6/13/23,Fresh,F,12:14,2.53,0.03,254
6/13/23,Fresh,F,12:19,2.41,0.03,261
6/13/23,Fresh,F,12:38,3.07,0.03,238
6/13/23,Fresh,F,12:41,1.92,0.02,247
6/13/23,Fresh,F,12:44,3.54,0.04,258
6/13/23,Fresh,F,12:49,1.52,0.01,246
6/13/23,Fresh,F,12:53,3.51,0.04,245
6/13/23,Fresh,F,12:56,2.97,0.03,257
6/13/23,Fresh,F,13:14,2.27,0.02,220
6/13/23,Fresh,F,13:17,2.18,0.03,280
6/13/23,Fresh,F,13:19,1.97,0.03,300
6/13/23,Fresh,F,13:23,1.85,0.02,256
6/13/23,Fresh,F,13:26,2.7,0.02,236
6/13/23,Fresh,F,13:29,2.93,0.03,229
6/13/23,Fresh,F,13:45,1.94,0.02,261
6/13/23,Fresh,F,13:48,1.7,0.02,260
6/13/23,Fresh,F,13:51,2.82,0.03,239
6/13/23,Fresh,F,13:55,2.3,0.02,252
6/13/23,Fresh,F,14:01,3.61,0.03,230
6/13/23,Fresh,F,14:06,1.66,0.01,259
6/13/23,Fresh,F,14:26,2.65,0.03,246
6/13/23,Fresh,F,14:28,3.48,0.04,259
6/13/23,Fresh,F,14:30,1.43,0.01,273
6/13/23,Fresh,F,14:20,1.4,0.01,274
6/13/23,Fresh,F,14:35,1.38,0.01,260
6/13/23,Fresh,F,14:36,3.03,0.04,267
6/13/23,Fresh,F,14:57,2.95,0.03,244
6/13/23,Fresh,F,14:58,2.15,0.04,297
6/13/23,Fresh,F,15:00,2.59,0.04,285
6/13/23,Fresh,F,15:02,2.6,0.03,249
6/13/23,Fresh,F,15:04,3.6,0.04,251
6/13/23,Fresh,F,15:05,1.63,0.01,256
6/13/23,Fresh,F,15:19,2.32,0.02,255
6/13/23,Fresh,F,15:23,1.52,0.02,273
6/13/23,Fresh,F,15:25,2.51,0.04,288
6/13/23,Fresh,F,15:27,2.61,0.03,265
6/13/23,Fresh,F,15:29,2.46,0.03,279
6/13/23,Fresh,F,15:31,1.59,0.02,266
