datetime_est,plot,depth_cm,eh_mv
2023-06-05 19:05,Saltwater,50,757.91884
2023-06-05 19:05,Freshwater,5,777.0756267
2023-06-05 19:05,Freshwater,15,635.76742
2023-06-05 19:05,Freshwater,30,757.19284
2023-06-05 19:05,Freshwater,50,801.57352
2023-06-05 19:10,Control,5,614.2296583
2023-06-05 19:10,Control,15,709.5527267
2023-06-05 19:10,Control,30,731.9622
2023-06-05 19:10,Control,50,789.58285
2023-06-05 19:10,Saltwater,5,668.18754
2023-06-05 19:10,Saltwater,15,715.44008
2023-06-05 19:10,Saltwater,30,739.89682
2023-06-05 19:10,Saltwater,50,757.94496
2023-06-05 19:10,Freshwater,5,771.8294283
2023-06-05 19:10,Freshwater,15,635.19587
2023-06-05 19:10,Freshwater,30,757.18856
2023-06-05 19:10,Freshwater,50,801.33378
2023-06-05 19:15,Control,5,614.4389333
2023-06-05 19:15,Control,15,709.63802
2023-06-05 19:15,Control,30,731.47844
2023-06-05 19:15,Control,50,789.5768
2023-06-05 19:15,Saltwater,5,668.3000533
2023-06-05 19:15,Saltwater,15,715.85346
2023-06-05 19:15,Saltwater,30,740.07156
2023-06-05 19:15,Saltwater,50,758.0175
2023-06-05 19:15,Freshwater,5,771.360255
2023-06-05 19:15,Freshwater,15,634.734345
2023-06-05 19:15,Freshwater,30,756.82226
2023-06-05 19:15,Freshwater,50,801.54582
2023-06-05 19:20,Control,5,614.7764556
2023-06-05 19:20,Control,15,709.81362
2023-06-05 19:20,Control,30,730.90258
2023-06-05 19:20,Control,50,789.75315
2023-06-05 19:20,Saltwater,5,668.3114
2023-06-05 19:20,Saltwater,15,715.8664333
2023-06-05 19:20,Saltwater,30,740.15838
2023-06-05 19:20,Saltwater,50,758.0026
2023-06-05 19:20,Freshwater,5,764.598755
2023-06-05 19:20,Freshwater,15,634.558995
2023-06-05 19:20,Freshwater,30,756.23752
2023-06-05 19:20,Freshwater,50,801.5722
2023-06-05 19:25,Control,5,614.9526778
2023-06-05 19:25,Control,15,709.9326
2023-06-05 19:25,Control,30,730.37308
2023-06-05 19:25,Control,50,789.64415
2023-06-05 19:25,Saltwater,5,668.42378
2023-06-05 19:25,Saltwater,15,716.1383867
2023-06-05 19:25,Saltwater,30,740.36708
2023-06-05 19:25,Saltwater,50,758.21142
2023-06-05 19:25,Freshwater,5,766.304555
2023-06-05 19:25,Freshwater,15,634.351645
2023-06-05 19:25,Freshwater,30,756.10804
2023-06-05 19:25,Freshwater,50,800.76358
2023-06-05 19:30,Control,5,615.12485
2023-06-05 19:30,Control,15,710.1676
2023-06-05 19:30,Control,30,729.85894
2023-06-05 19:30,Control,50,789.7186
2023-06-05 19:30,Saltwater,5,668.5890933
2023-06-05 19:30,Saltwater,15,716.47426
2023-06-05 19:30,Saltwater,30,740.4689
2023-06-05 19:30,Saltwater,50,758.3132
2023-06-05 19:30,Freshwater,5,766.00228
2023-06-05 19:30,Freshwater,15,633.71072
2023-06-05 19:30,Freshwater,30,755.5255
2023-06-05 19:30,Freshwater,50,801.43806
2023-06-05 19:35,Control,5,615.4632472
2023-06-05 19:35,Control,15,710.2759
2023-06-05 19:35,Control,30,729.35238
2023-06-05 19:35,Control,50,789.81065
2023-06-05 19:35,Saltwater,5,668.9917733
2023-06-05 19:35,Saltwater,15,716.8210733
2023-06-05 19:35,Saltwater,30,740.58212
2023-06-05 19:35,Saltwater,50,758.35856
2023-06-05 19:35,Freshwater,5,765.373305
2023-06-05 19:35,Freshwater,15,633.2873583
2023-06-05 19:35,Freshwater,30,755.36364
2023-06-05 19:35,Freshwater,50,801.54874
2023-06-05 19:40,Control,5,615.6290694
2023-06-05 19:40,Control,15,710.41616
2023-06-05 19:40,Control,30,728.6043
2023-06-05 19:40,Control,50,789.6867
2023-06-05 19:40,Saltwater,5,668.97092
2023-06-05 19:40,Saltwater,15,716.8668067
2023-06-05 19:40,Saltwater,30,740.8024
2023-06-05 19:40,Saltwater,50,758.3394
2023-06-05 19:40,Freshwater,5,764.177355
2023-06-05 19:40,Freshwater,15,633.0652467
2023-06-05 19:40,Freshwater,30,754.94948
2023-06-05 19:40,Freshwater,50,801.43994
2023-06-05 19:45,Control,5,615.7982167
2023-06-05 19:45,Control,15,710.62894
2023-06-05 19:45,Control,30,728.09974
2023-06-05 19:45,Control,50,789.823775
2023-06-05 19:45,Saltwater,5,669.0423
2023-06-05 19:45,Saltwater,15,717.08798
2023-06-05 19:45,Saltwater,30,740.89286
2023-06-05 19:45,Saltwater,50,758.39648
2023-06-05 19:45,Freshwater,5,763.75918
2023-06-05 19:45,Freshwater,15,632.598235
2023-06-05 19:45,Freshwater,30,753.76656
2023-06-05 19:45,Freshwater,50,801.44702
2023-06-05 19:50,Control,5,616.1037667
2023-06-05 19:50,Control,15,710.70536
2023-06-05 19:50,Control,30,727.4166622
2023-06-05 19:50,Control,50,789.8679222
2023-06-05 19:50,Saltwater,5,669.206
2023-06-05 19:50,Saltwater,15,717.35334
2023-06-05 19:50,Saltwater,30,741.15792
2023-06-05 19:50,Saltwater,50,758.49066
2023-06-05 19:50,Freshwater,5,762.995455
2023-06-05 19:50,Freshwater,15,632.174135
2023-06-05 19:50,Freshwater,30,754.20924
2023-06-05 19:50,Freshwater,50,801.54992
2023-06-05 19:55,Control,5,616.5080417
2023-06-05 19:55,Control,15,711.00316
2023-06-05 19:55,Control,30,726.9554444
2023-06-05 19:55,Control,50,789.7600444
2023-06-05 19:55,Saltwater,5,669.2741333
2023-06-05 19:55,Saltwater,15,717.60458
2023-06-05 19:55,Saltwater,30,741.27322
2023-06-05 19:55,Saltwater,50,758.43582
2023-06-05 19:55,Freshwater,5,761.253805
2023-06-05 19:55,Freshwater,15,632.00421
2023-06-05 19:55,Freshwater,30,753.6995
2023-06-05 19:55,Freshwater,50,801.14218
2023-06-05 20:00,Control,5,616.8004167
2023-06-05 20:00,Control,15,711.23426
2023-06-05 20:00,Control,30,726.2555467
2023-06-05 20:00,Control,50,789.8280917
2023-06-05 20:00,Saltwater,5,669.4667
2023-06-05 20:00,Saltwater,15,717.62892
2023-06-05 20:00,Saltwater,30,741.36692
2023-06-05 20:00,Saltwater,50,758.42794
2023-06-05 20:00,Freshwater,5,750.676055
2023-06-05 20:00,Freshwater,15,631.579435
2023-06-05 20:00,Freshwater,30,753.12178
2023-06-05 20:00,Freshwater,50,801.41402
2023-06-05 20:05,Control,5,617.1529167
2023-06-05 20:05,Control,15,711.34998
2023-06-05 20:05,Control,30,725.6198467
2023-06-05 20:05,Control,50,789.8860917
2023-06-05 20:05,Saltwater,5,669.7985467
2023-06-05 20:05,Saltwater,15,717.86262
2023-06-05 20:05,Saltwater,30,741.42982
2023-06-05 20:05,Saltwater,50,758.49066
2023-06-05 20:05,Freshwater,5,748.36772
2023-06-05 20:05,Freshwater,15,631.5746483
2023-06-05 20:05,Freshwater,30,752.88388
2023-06-05 20:05,Freshwater,50,801.10816
2023-06-05 20:10,Control,5,617.6742167
2023-06-05 20:10,Control,15,711.5657
2023-06-05 20:10,Control,30,725.0156467
2023-06-05 20:10,Control,50,789.8983917
2023-06-05 20:10,Saltwater,5,669.7868267
2023-06-05 20:10,Saltwater,15,718.02562
2023-06-05 20:10,Saltwater,30,741.69482
2023-06-05 20:10,Saltwater,50,758.31182
2023-06-05 20:10,Freshwater,5,747.588735
2023-06-05 20:10,Freshwater,15,631.0600867
2023-06-05 20:10,Freshwater,30,752.37412
2023-06-05 20:10,Freshwater,50,801.41404
2023-06-05 20:15,Control,5,617.7617167
2023-06-05 20:15,Control,15,711.70492
2023-06-05 20:15,Control,30,724.4372467
2023-06-05 20:15,Control,50,789.9013417
2023-06-05 20:15,Saltwater,5,670.19474
2023-06-05 20:15,Saltwater,15,718.45116
2023-06-05 20:15,Saltwater,30,741.71164
2023-06-05 20:15,Saltwater,50,758.53392
2023-06-05 20:15,Freshwater,5,746.852175
2023-06-05 20:15,Freshwater,15,630.92785
2023-06-05 20:15,Freshwater,30,751.59244
2023-06-05 20:15,Freshwater,50,801.24412
2023-06-05 20:20,Control,5,618.0847611
2023-06-05 20:20,Control,15,711.8604733
2023-06-05 20:20,Control,30,723.8528067
2023-06-05 20:20,Control,50,789.9401917
2023-06-05 20:20,Saltwater,5,670.2520667
2023-06-05 20:20,Saltwater,15,718.63288
2023-06-05 20:20,Saltwater,30,741.89386
2023-06-05 20:20,Saltwater,50,758.44352
2023-06-05 20:20,Freshwater,5,746.7624633
2023-06-05 20:20,Freshwater,15,630.3756
2023-06-05 20:20,Freshwater,30,751.49052
2023-06-05 20:20,Freshwater,50,801.31206
2023-06-05 20:25,Control,5,618.2345306
2023-06-05 20:25,Control,15,712.0471867
2023-06-05 20:25,Control,30,723.1286267
2023-06-05 20:25,Control,50,789.8473667
2023-06-05 20:25,Saltwater,5,670.41076
2023-06-05 20:25,Saltwater,15,718.86914
2023-06-05 20:25,Saltwater,30,742.16412
2023-06-05 20:25,Saltwater,50,758.57722
2023-06-05 20:25,Freshwater,5,746.9275267
2023-06-05 20:25,Freshwater,15,630.20565
2023-06-05 20:25,Freshwater,30,750.64088
2023-06-05 20:25,Freshwater,50,801.24412
2023-06-05 20:30,Control,5,618.52475
2023-06-05 20:30,Control,15,712.21486
2023-06-05 20:30,Control,30,722.5224067
2023-06-05 20:30,Control,50,789.9856667
2023-06-05 20:30,Saltwater,5,670.4655533
2023-06-05 20:30,Saltwater,15,719.08212
2023-06-05 20:30,Saltwater,30,742.20688
2023-06-05 20:30,Saltwater,50,758.62024
2023-06-05 20:30,Freshwater,5,747.05269
2023-06-05 20:30,Freshwater,15,629.9527
2023-06-05 20:30,Freshwater,30,750.7453
2023-06-05 20:30,Freshwater,50,801.14486
2023-06-05 20:35,Control,5,618.785575
2023-06-05 20:35,Control,15,712.45966
2023-06-05 20:35,Control,30,721.9049289
2023-06-05 20:35,Control,50,789.8559639
2023-06-05 20:35,Saltwater,5,670.5235867
2023-06-05 20:35,Saltwater,15,719.2786267
2023-06-05 20:35,Saltwater,30,742.31064
2023-06-05 20:35,Saltwater,50,758.72404
2023-06-05 20:35,Freshwater,5,747.2157533
2023-06-05 20:35,Freshwater,15,630.07855
2023-06-05 20:35,Freshwater,30,750.16556
2023-06-05 20:35,Freshwater,50,800.66684
2023-06-05 20:40,Control,5,618.871625
2023-06-05 20:40,Control,15,712.59712
2023-06-05 20:40,Control,30,721.3850711
2023-06-05 20:40,Control,50,789.9342861
2023-06-05 20:40,Saltwater,5,670.8689533
2023-06-05 20:40,Saltwater,15,719.4783733
2023-06-05 20:40,Saltwater,30,742.34952
2023-06-05 20:40,Saltwater,50,758.72896
2023-06-05 20:40,Freshwater,5,745.6055667
2023-06-05 20:40,Freshwater,15,629.618175
2023-06-05 20:40,Freshwater,30,749.69864
2023-06-05 20:40,Freshwater,50,801.39026
2023-06-05 20:45,Control,5,618.827775
2023-06-05 20:45,Control,15,712.80078
2023-06-05 20:45,Control,30,720.6921533
2023-06-05 20:45,Control,50,789.9246833
2023-06-05 20:45,Saltwater,5,670.9832867
2023-06-05 20:45,Saltwater,15,719.74246
2023-06-05 20:45,Saltwater,30,742.69144
2023-06-05 20:45,Saltwater,50,758.79792
2023-06-05 20:45,Freshwater,5,726.960555
2023-06-05 20:45,Freshwater,15,629.2858
2023-06-05 20:45,Freshwater,30,749.3684
2023-06-05 20:45,Freshwater,50,801.29882
2023-06-05 20:50,Control,5,618.957
2023-06-05 20:50,Control,15,712.9951533
2023-06-05 20:50,Control,30,720.1807933
2023-06-05 20:50,Control,50,790.0115833
2023-06-05 20:50,Saltwater,5,670.9216333
2023-06-05 20:50,Saltwater,15,719.8448
2023-06-05 20:50,Saltwater,30,742.65732
2023-06-05 20:50,Saltwater,50,758.86614
2023-06-05 20:50,Freshwater,5,727.56983
2023-06-05 20:50,Freshwater,15,629.2927383
2023-06-05 20:50,Freshwater,30,748.90768
2023-06-05 20:50,Freshwater,50,801.17946
2023-06-05 20:55,Control,5,619.252625
2023-06-05 20:55,Control,15,713.1157067
2023-06-05 20:55,Control,30,719.6639133
2023-06-05 20:55,Control,50,789.9213333
2023-06-05 20:55,Saltwater,5,670.9697467
2023-06-05 20:55,Saltwater,15,720.1134
2023-06-05 20:55,Saltwater,30,742.85748
2023-06-05 20:55,Saltwater,50,758.89558
2023-06-05 20:55,Freshwater,5,728.27823
2023-06-05 20:55,Freshwater,15,628.9369267
2023-06-05 20:55,Freshwater,30,747.7378
2023-06-05 20:55,Freshwater,50,801.1977
2023-06-05 21:00,Control,5,619.212975
2023-06-05 21:00,Control,15,713.14172
2023-06-05 21:00,Control,30,719.0184133
2023-06-05 21:00,Control,50,789.9257083
2023-06-05 21:00,Saltwater,5,671.3018933
2023-06-05 21:00,Saltwater,15,720.14274
2023-06-05 21:00,Saltwater,30,742.92074
2023-06-05 21:00,Saltwater,50,759.0269
2023-06-05 21:00,Freshwater,5,728.16318
2023-06-05 21:00,Freshwater,15,628.559815
2023-06-05 21:00,Freshwater,30,748.15852
2023-06-05 21:00,Freshwater,50,801.07594
2023-06-05 21:05,Control,5,619.4190472
2023-06-05 21:05,Control,15,713.31312
2023-06-05 21:05,Control,30,718.5404533
2023-06-05 21:05,Control,50,789.9263083
2023-06-05 21:05,Saltwater,5,671.36124
2023-06-05 21:05,Saltwater,15,720.3507533
2023-06-05 21:05,Saltwater,30,743.0315
2023-06-05 21:05,Saltwater,50,759.06966
2023-06-05 21:05,Freshwater,5,726.743655
2023-06-05 21:05,Freshwater,15,628.707365
2023-06-05 21:05,Freshwater,30,747.7425
2023-06-05 21:05,Freshwater,50,800.96836
2023-06-05 21:10,Control,5,619.7100944
2023-06-05 21:10,Control,15,713.51818
2023-06-05 21:10,Control,30,717.9252733
2023-06-05 21:10,Control,50,789.9263083
2023-06-05 21:10,Saltwater,5,671.4711533
2023-06-05 21:10,Saltwater,15,720.5176267
2023-06-05 21:10,Saltwater,30,743.16908
2023-06-05 21:10,Saltwater,50,759.07082
2023-06-05 21:10,Freshwater,5,727.99678
2023-06-05 21:10,Freshwater,15,628.52019
2023-06-05 21:10,Freshwater,30,747.14256
2023-06-05 21:10,Freshwater,50,801.28384
2023-06-05 21:15,Control,5,619.9584417
2023-06-05 21:15,Control,15,713.68904
2023-06-05 21:15,Control,30,717.4809733
2023-06-05 21:15,Control,50,790.0117583
2023-06-05 21:15,Saltwater,5,671.5801667
2023-06-05 21:15,Saltwater,15,720.82002
2023-06-05 21:15,Saltwater,30,743.3398
2023-06-05 21:15,Saltwater,50,759.13914
2023-06-05 21:15,Freshwater,5,728.70288
2023-06-05 21:15,Freshwater,15,628.498915
2023-06-05 21:15,Freshwater,30,746.89788
2023-06-05 21:15,Freshwater,50,800.872
2023-06-05 21:20,Control,5,619.9157167
2023-06-05 21:20,Control,15,713.85992
2023-06-05 21:20,Control,30,716.8999933
2023-06-05 21:20,Control,50,789.9263083
2023-06-05 21:20,Saltwater,5,671.8645333
2023-06-05 21:20,Saltwater,15,720.9517933
2023-06-05 21:20,Saltwater,30,743.51044
2023-06-05 21:20,Saltwater,50,759.2415
2023-06-05 21:20,Freshwater,5,727.64618
2023-06-05 21:20,Freshwater,15,628.1963167
2023-06-05 21:20,Freshwater,30,746.2917
2023-06-05 21:20,Freshwater,50,801.25206
2023-06-05 21:25,Control,5,620.0439167
2023-06-05 21:25,Control,15,713.99664
2023-06-05 21:25,Control,30,716.4898933
2023-06-05 21:25,Control,50,790.0117583
2023-06-05 21:25,Saltwater,5,671.8645333
2023-06-05 21:25,Saltwater,15,721.1858467
2023-06-05 21:25,Saltwater,30,743.54456
2023-06-05 21:25,Saltwater,50,759.17328
2023-06-05 21:25,Freshwater,5,728.335155
2023-06-05 21:25,Freshwater,15,627.8967683
2023-06-05 21:25,Freshwater,30,745.72342
2023-06-05 21:25,Freshwater,50,801.22862
2023-06-05 21:30,Control,5,619.9584667
2023-06-05 21:30,Control,15,714.06496
2023-06-05 21:30,Control,30,715.9088933
2023-06-05 21:30,Control,50,789.9690583
2023-06-05 21:30,Saltwater,5,672.1489
2023-06-05 21:30,Saltwater,15,721.18106
2023-06-05 21:30,Saltwater,30,743.74928
2023-06-05 21:30,Saltwater,50,759.17328
2023-06-05 21:30,Freshwater,5,725.79348
2023-06-05 21:30,Freshwater,15,627.68087
