#Log_File	LOG182
#Comment	
#Device	FireStingGO2_Pocket_Oxygen_Meter
#Firmware	3.38
#Unique_ID	24EB9B04575BA8F7
#Manufacturer	Pyro_Science_GmbH
#Settings	Sensor Code	Medium	Oxygen Units	Temperature	Salinity
#	XA7-530-200	Water	%air sat.	Sensor	0.0 psu
#Calibration	Sensor Code	Calibrate Air	Calibrate 0%
#	XA7-530-200	4 Jun 2023	not cal.
#Adv. Settings	Temperature	Pressure	Salinity	Mode	LED Intensity	Amplification	Frequency
#	Sensor	Sensor	0 psu	default	10%	400x	4000 Hz
#Adv. Calibration	dphi0	dphi100	Temp0	Temp100	Pressure	Humidity	f	m	calFreq	tt	kt	bkgdAmp	bkgdDphi	useKsv	ksv	ft	mt	not used	PercentO2
#	53.000°	21.275°	20.00°C	23.17°C	1014 mbar	50%RH	0.804	0.122	4000 Hz	-0.056%/K	0.969%/K	0.60 mV	0.000°	0	0.000000/hPa	0.000000/K	-0.000303/K	0	20.95%O2
#
Data_Point	Date_Time(YYYY-MM-DD_hh:mm:ss)	Oxygen(%air sat.)	Warning 	Compensation_Temperature(°C)	Temperature(°C)	Air_Pressure(mbar)	Humidity(%RH)	Time(s)		Status	dphi(°)	Intensity(mV)	Ambient_Light(mV)	Case_Temperature(°C)
34	2023-06-09 17:59:44	93.488		16.05	16.05	1008.2	50.7	9900		0	22.999	304.0	38.3	21.17
35	2023-06-09 18:04:44	93.490		16.05	16.05	1008.3	50.8	10200		0	22.998	304.2	38.5	21.02
36	2023-06-09 18:09:44	93.592		16.05	16.05	1008.2	51.0	10500		0	22.986	304.3	38.2	20.84
37	2023-06-09 18:14:44	93.517		16.05	16.05	1008.1	51.1	10800		0	22.996	303.9	38.3	20.69
38	2023-06-09 18:19:44	93.488		16.06	16.06	1008.2	51.3	11100		0	22.998	304.3	38.4	20.55
39	2023-06-09 18:24:44	93.471		16.05	16.05	1008.4	51.4	11400		0	22.999	304.2	38.5	20.42
40	2023-06-09 18:29:44	93.561		16.05	16.05	1008.4	51.5	11700		0	22.988	304.3	38.3	20.27
41	2023-06-09 18:34:44	93.520		16.05	16.05	1008.4	51.7	12000		0	22.991	304.7	38.6	20.13
42	2023-06-09 18:39:44	93.546		16.05	16.05	1008.6	51.8	12300		0	22.986	304.7	38.7	20.00
43	2023-06-09 18:44:44	93.450		16.05	16.05	1008.6	51.9	12600		0	22.999	304.8	38.5	19.86
44	2023-06-09 18:49:44	93.579		16.05	16.05	1008.7	52.0	12900		0	22.981	305.4	38.6	19.73
45	2023-06-09 18:54:44	93.528		16.05	16.05	1008.7	52.1	13200		0	22.987	305.6	38.7	19.57
46	2023-06-09 18:59:44	93.496		16.06	16.06	1008.8	52.2	13500		0	22.990	305.8	38.6	19.44
47	2023-06-09 19:04:44	93.624		16.06	16.06	1008.8	52.3	13800		0	22.973	305.8	38.5	19.31
48	2023-06-09 19:09:44	93.542		16.06	16.06	1008.8	52.4	14100		0	22.983	306.2	38.5	19.17
49	2023-06-09 19:14:44	93.567		16.06	16.06	1008.9	52.6	14400		0	22.979	306.4	38.6	19.05
50	2023-06-09 19:19:44	93.624		16.06	16.06	1009.0	52.8	14700		0	22.971	306.6	38.4	18.93
51	2023-06-09 19:24:44	93.567		16.05	16.05	1009.2	52.9	15000		0	22.977	307.1	38.3	18.81
52	2023-06-09 19:29:44	93.618		16.06	16.06	1009.1	53.1	15300		0	22.970	307.0	38.3	18.71
53	2023-06-09 19:34:44	93.614		16.05	16.05	1009.3	53.3	15600		0	22.970	307.1	38.4	18.62
54	2023-06-09 19:39:44	93.649		16.06	16.06	1009.2	53.4	15900		0	22.966	307.3	38.6	18.51
55	2023-06-09 19:44:44	93.652		16.05	16.05	1009.4	53.5	16200		0	22.964	307.5	38.4	18.44
56	2023-06-09 19:49:44	93.631		16.05	16.05	1009.3	53.7	16500		0	22.968	307.5	38.4	18.37
57	2023-06-09 19:54:44	93.672		16.05	16.05	1009.5	54.1	16800		0	22.959	308.1	38.4	18.38
58	2023-06-09 19:59:44	93.571		16.06	16.06	1009.6	54.1	17100		0	22.970	307.5	38.4	18.48
59	2023-06-09 20:04:44	93.663		16.06	16.06	1009.4	53.9	17400		0	22.962	307.4	38.4	18.46
60	2023-06-09 20:09:44	93.641		16.06	16.06	1009.4	53.8	17700		0	22.964	307.4	38.2	18.41
61	2023-06-09 20:14:44	93.675		16.06	16.06	1009.3	53.8	18000		0	22.961	307.5	38.3	18.32
62	2023-06-09 20:19:44	93.651		16.06	16.06	1009.4	53.8	18300		0	22.963	307.4	38.4	18.23
63	2023-06-09 20:24:44	93.621		16.06	16.06	1009.4	53.8	18600		0	22.967	308.0	38.2	18.17
64	2023-06-09 20:29:44	93.792		16.07	16.07	1009.5	53.9	18900		0	22.944	307.8	38.6	18.11
65	2023-06-09 20:34:44	93.715		16.06	16.06	1009.6	54.1	19200		0	22.953	307.9	38.4	18.02
66	2023-06-09 20:39:44	93.690		16.06	16.06	1009.6	54.2	19500		0	22.955	308.0	38.3	17.93
67	2023-06-09 20:44:44	93.688		16.06	16.06	1009.7	54.2	19800		0	22.955	308.0	38.4	17.85
68	2023-06-09 20:49:44	93.824		16.06	16.06	1009.8	54.3	20100		0	22.936	308.3	38.4	17.79
69	2023-06-09 20:54:44	93.738		16.06	16.06	1010.0	54.3	20400		0	22.945	308.5	38.6	17.71
70	2023-06-09 20:59:44	93.716		16.06	16.06	1010.1	54.4	20700		0	22.946	308.3	38.2	17.61
71	2023-06-09 21:04:44	93.738		16.06	16.06	1010.3	54.5	21000		0	22.942	308.8	38.3	17.54
72	2023-06-09 21:09:44	93.782		16.06	16.06	1010.2	54.6	21300		0	22.937	309.1	38.3	17.48
73	2023-06-09 21:14:44	93.719		16.06	16.06	1010.3	54.7	21600		0	22.944	309.1	38.6	17.43
74	2023-06-09 21:19:44	93.741		16.06	16.06	1010.3	54.8	21900		0	22.941	309.2	38.3	17.39
75	2023-06-09 21:24:44	93.724		16.06	16.06	1010.4	54.9	22200		0	22.942	308.9	38.5	17.35
76	2023-06-09 21:29:44	93.825		16.06	16.06	1010.4	55.0	22500		0	22.930	309.2	37.9	17.32
77	2023-06-09 21:34:44	93.686		16.06	16.06	1010.3	55.0	22800		0	22.948	309.2	38.3	17.29
78	2023-06-09 21:39:44	93.796		16.06	16.06	1010.2	55.1	23100		0	22.935	309.1	38.3	17.26
79	2023-06-09 21:44:44	93.704		16.06	16.06	1010.3	55.3	23400		0	22.946	309.7	38.2	17.24
80	2023-06-09 21:49:44	93.715		16.06	16.06	1010.3	55.3	23700		0	22.945	309.6	38.5	17.20
81	2023-06-09 21:54:44	93.796		16.06	16.06	1010.2	55.4	24000		0	22.936	309.5	38.6	17.13
82	2023-06-09 21:59:44	93.795		16.06	16.06	1010.2	55.5	24300		0	22.936	309.6	38.7	17.08
83	2023-06-09 22:04:44	93.856		16.06	16.06	1010.2	55.6	24600		0	22.928	309.6	38.5	17.03
84	2023-06-09 22:09:44	93.841		16.06	16.06	1010.3	55.6	24900		0	22.929	309.5	38.4	16.97
85	2023-06-09 22:14:44	93.753		16.05	16.05	1010.2	55.7	25200		0	22.941	309.7	38.7	16.90
86	2023-06-09 22:19:44	93.783		16.05	16.05	1010.2	55.7	25500		0	22.938	309.7	38.7	16.82
87	2023-06-09 22:24:44	93.786		16.05	16.05	1010.1	55.8	25800		0	22.939	310.0	38.4	16.73
88	2023-06-09 22:29:44	93.848		16.05	16.05	1010.1	55.8	26100		0	22.932	310.3	38.4	16.63
89	2023-06-09 22:34:44	93.803		16.05	16.05	1010.1	55.9	26400		0	22.937	310.3	38.5	16.53
90	2023-06-09 22:39:44	93.699		16.05	16.05	1010.2	55.9	26700		0	22.949	310.5	38.4	16.43
91	2023-06-09 22:44:44	93.766		16.04	16.04	1010.3	56.0	27000		0	22.940	310.5	38.9	16.32
92	2023-06-09 22:49:44	93.849		16.04	16.04	1010.3	56.1	27300		0	22.930	310.7	38.3	16.22
93	2023-06-09 22:54:44	93.845		16.05	16.05	1010.2	56.3	27600		0	22.931	311.0	38.6	16.13
94	2023-06-09 22:59:44	93.936		16.05	16.05	1010.2	56.4	27900		0	22.920	311.2	38.8	16.07
95	2023-06-09 23:04:44	93.944		16.04	16.04	1010.2	56.5	28200		0	22.919	311.2	38.4	15.99
96	2023-06-09 23:09:44	93.885		16.04	16.04	1010.2	56.6	28500		0	22.926	311.4	38.6	15.91
97	2023-06-09 23:14:44	93.926		16.04	16.04	1010.2	56.8	28800		0	22.922	311.6	38.7	15.85
98	2023-06-09 23:19:44	93.959		16.04	16.04	1010.1	56.9	29100		0	22.918	311.5	38.6	15.78
99	2023-06-09 23:24:44	93.862		16.04	16.04	1010.2	57.1	29400		0	22.930	311.4	38.5	15.73
100	2023-06-09 23:29:44	93.981		16.04	16.04	1010.2	57.2	29700		0	22.915	311.8	38.6	15.67
101	2023-06-09 23:34:44	93.910		16.04	16.04	1010.3	57.2	30000		0	22.923	311.8	38.6	15.60
102	2023-06-09 23:39:44	93.849		16.03	16.03	1010.2	57.4	30300		0	22.932	311.7	38.2	15.56
103	2023-06-09 23:44:44	93.911		16.04	16.04	1010.3	57.4	30600		0	22.923	311.8	38.4	15.50
104	2023-06-09 23:49:44	93.963		16.04	16.04	1010.1	57.6	30900		0	22.918	312.1	38.5	15.44
105	2023-06-09 23:54:44	93.939		16.03	16.03	1010.1	57.6	31200		0	22.922	311.9	39.0	15.36
106	2023-06-09 23:59:44	93.935		16.03	16.03	1010.1	57.7	31500		0	22.923	312.4	38.8	15.30
107	2023-06-10 00:04:44	93.977		16.03	16.03	1010.0	57.9	31800		0	22.918	312.5	38.6	15.25
108	2023-06-10 00:09:44	93.973		16.03	16.03	1009.9	57.9	32100		0	22.920	312.4	38.6	15.18
109	2023-06-10 00:14:44	93.935		16.02	16.02	1009.8	58.0	32400		0	22.926	312.6	38.4	15.10
110	2023-06-10 00:19:44	93.962		16.03	16.03	1010.0	58.1	32700		0	22.921	312.6	38.7	15.01
111	2023-06-10 00:24:44	93.969		16.03	16.03	1009.9	58.1	33000		0	22.921	312.7	38.7	14.92
112	2023-06-10 00:29:44	93.939		16.02	16.02	1009.8	58.2	33300		0	22.926	313.1	38.6	14.83
113	2023-06-10 00:34:44	93.969		16.02	16.02	1009.8	58.3	33600		0	22.923	313.3	38.4	14.75
114	2023-06-10 00:39:44	94.007		16.01	16.01	1009.9	58.4	33900		0	22.918	313.2	38.4	14.67
115	2023-06-10 00:44:44	94.020		16.02	16.02	1009.8	58.6	34200		0	22.917	313.3	38.3	14.60
116	2023-06-10 00:49:44	94.029		16.01	16.01	1009.8	58.7	34500		0	22.917	313.5	38.3	14.52
117	2023-06-10 00:54:44	93.978		16.01	16.01	1009.8	58.8	34800		0	22.922	313.7	38.2	14.46
118	2023-06-10 00:59:44	93.959		16.01	16.01	1009.9	58.9	35100		0	22.924	313.9	38.6	14.40
119	2023-06-10 01:04:44	93.961		16.01	16.01	1009.8	59.1	35400		0	22.925	314.0	38.3	14.35
120	2023-06-10 01:09:44	94.005		16.01	16.01	1009.8	59.2	35700		0	22.920	313.8	38.6	14.30
121	2023-06-10 01:14:44	93.995		16.01	16.01	1009.7	59.3	36000		0	22.922	313.9	38.8	14.25
122	2023-06-10 01:19:44	93.909		16.01	16.01	1009.8	59.4	36300		0	22.932	314.0	38.6	14.20
123	2023-06-10 01:24:44	93.989		16.01	16.01	1009.7	59.5	36600		0	22.923	314.1	38.7	14.14
124	2023-06-10 01:29:44	93.969		16.00	16.00	1009.8	59.6	36900		0	22.925	314.5	38.4	14.09
125	2023-06-10 01:34:44	94.050		16.00	16.00	1009.7	59.6	37200		0	22.916	314.6	38.6	14.02
126	2023-06-10 01:39:44	94.014		15.99	15.99	1009.7	59.7	37500		0	22.921	314.7	38.5	13.97
127	2023-06-10 01:44:44	94.015		15.99	15.99	1009.7	59.8	37800		0	22.922	314.8	38.3	13.90
128	2023-06-10 01:49:44	94.059		16.00	16.00	1009.7	59.9	38100		0	22.915	314.5	38.3	13.84
129	2023-06-10 01:54:44	94.099		15.99	15.99	1009.7	60.0	38400		0	22.911	315.0	38.3	13.79
130	2023-06-10 01:59:44	94.092		16.00	16.00	1009.8	60.2	38700		0	22.911	315.0	38.5	13.75
131	2023-06-10 02:04:44	94.003		15.99	15.99	1009.7	60.3	39000		0	22.923	315.0	38.4	13.71
132	2023-06-10 02:09:44	94.020		15.99	15.99	1009.7	60.4	39300		0	22.921	315.2	38.4	13.67
133	2023-06-10 02:14:44	94.041		15.98	15.98	1009.7	60.5	39600		0	22.919	315.0	38.4	13.63
134	2023-06-10 02:19:44	94.022		15.98	15.98	1009.8	60.6	39900		0	22.921	315.1	38.5	13.60
135	2023-06-10 02:24:44	94.082		15.99	15.99	1009.8	60.7	40200		0	22.913	315.2	38.2	13.57
136	2023-06-10 02:29:44	94.056		15.98	15.98	1009.9	60.8	40500		0	22.916	315.1	38.1	13.55
137	2023-06-10 02:34:44	94.100		15.97	15.97	1009.8	60.9	40800		0	22.912	315.1	38.2	13.52
138	2023-06-10 02:39:44	94.032		15.97	15.97	1009.8	61.0	41100		0	22.921	315.0	38.2	13.51
139	2023-06-10 02:44:44	93.998		15.97	15.97	1009.9	61.1	41400		0	22.924	315.2	38.4	13.49
140	2023-06-10 02:49:44	94.159		15.97	15.97	1009.8	61.1	41700		0	22.905	315.5	38.3	13.44
141	2023-06-10 02:54:44	94.046		15.97	15.97	1009.8	61.2	42000		0	22.919	315.2	38.6	13.40
142	2023-06-10 02:59:44	94.047		15.97	15.97	1009.9	61.2	42300		0	22.918	315.3	38.7	13.36
143	2023-06-10 03:04:44	93.963		15.96	15.96	1009.8	61.3	42600		0	22.931	315.5	38.7	13.32
144	2023-06-10 03:09:44	94.066		15.95	15.95	1009.7	61.4	42900		0	22.919	315.7	38.5	13.28
145	2023-06-10 03:14:44	94.085		15.96	15.96	1009.7	61.5	43200		0	22.917	315.8	38.3	13.24
146	2023-06-10 03:19:44	94.172		15.95	15.95	1009.7	61.6	43500		0	22.906	315.7	38.7	13.20
147	2023-06-10 03:24:44	94.059		15.95	15.95	1009.7	61.6	43800		0	22.920	315.6	38.6	13.15
148	2023-06-10 03:29:44	94.114		15.95	15.95	1009.7	61.7	44100		0	22.914	315.7	38.7	13.10
149	2023-06-10 03:34:44	94.173		15.95	15.95	1009.7	61.7	44400		0	22.907	315.7	38.6	13.05
150	2023-06-10 03:39:44	94.116		15.95	15.95	1009.7	61.8	44700		0	22.913	315.9	38.5	13.02
151	2023-06-10 03:44:44	94.097		15.94	15.94	1009.7	61.9	45000		0	22.917	315.9	38.5	12.97
152	2023-06-10 03:49:44	94.061		15.94	15.94	1009.7	62.0	45300		0	22.921	316.3	38.3	12.93
153	2023-06-10 03:54:44	94.118		15.94	15.94	1009.7	62.1	45600		0	22.914	316.0	38.5	12.89
154	2023-06-10 03:59:44	94.186		15.94	15.94	1009.7	62.2	45900		0	22.906	316.3	38.4	12.86
155	2023-06-10 04:04:44	94.136		15.93	15.93	1009.9	62.2	46200		0	22.911	316.1	38.3	12.82
156	2023-06-10 04:09:44	94.162		15.93	15.93	1009.9	62.3	46500		0	22.908	316.4	38.4	12.78
157	2023-06-10 04:14:44	94.218		15.93	15.93	1010.0	62.4	46800		0	22.899	316.1	38.7	12.75
158	2023-06-10 04:19:44	94.268		15.92	15.92	1010.0	62.5	47100		0	22.894	316.6	38.5	12.72
159	2023-06-10 04:24:44	94.150		15.92	15.92	1010.0	62.6	47400		0	22.909	316.2	38.5	12.71
160	2023-06-10 04:29:44	94.194		15.93	15.93	1010.1	62.7	47700		0	22.902	316.3	38.3	12.66
161	2023-06-10 04:34:44	94.209		15.92	15.92	1010.2	62.7	48000		0	22.899	316.4	38.8	12.62
162	2023-06-10 04:39:44	94.229		15.92	15.92	1010.2	62.8	48300		0	22.897	316.4	38.6	12.59
163	2023-06-10 04:44:44	94.175		15.91	15.91	1010.3	62.9	48600		0	22.903	316.6	38.5	12.57
164	2023-06-10 04:49:44	94.254		15.91	15.91	1010.4	62.9	48900		0	22.892	316.2	38.8	12.53
165	2023-06-10 04:54:44	94.226		15.90	15.90	1010.5	63.0	49200		0	22.896	316.5	38.7	12.52
166	2023-06-10 04:59:44	94.181		15.90	15.90	1010.5	63.1	49500		0	22.902	316.5	38.5	12.49
167	2023-06-10 05:04:44	94.231		15.90	15.90	1010.5	63.2	49800		0	22.896	316.5	38.7	12.47
168	2023-06-10 05:09:44	94.156		15.90	15.90	1010.5	63.3	50100		0	22.904	316.8	38.7	12.48
169	2023-06-10 05:14:44	94.290		15.90	15.90	1010.5	63.4	50400		0	22.888	316.5	38.3	12.48
170	2023-06-10 05:19:44	94.330		15.89	15.89	1010.6	63.5	50700		0	22.883	316.7	38.8	12.48
171	2023-06-10 05:24:44	94.227		15.89	15.89	1010.7	63.6	51000		0	22.895	316.7	38.6	12.49
172	2023-06-10 05:29:44	94.235		15.89	15.89	1010.8	63.7	51300		0	22.893	316.5	38.5	12.52
173	2023-06-10 05:34:44	94.174		15.88	15.88	1010.8	63.8	51600		0	22.900	316.4	38.6	12.56
174	2023-06-10 05:39:44	94.231		15.88	15.88	1010.8	63.9	51900		0	22.893	316.5	38.3	12.61
175	2023-06-10 05:44:44	94.269		15.88	15.88	1010.8	64.0	52200		0	22.889	316.3	38.3	12.69
176	2023-06-10 05:49:44	94.266		15.88	15.88	1010.9	64.1	52500		0	22.889	316.2	38.4	12.74
177	2023-06-10 05:54:44	94.310		15.87	15.87	1010.9	64.2	52800		0	22.884	316.0	38.4	12.83
178	2023-06-10 05:59:44	94.212		15.87	15.87	1011.0	64.3	53100		0	22.895	316.2	38.6	12.91
179	2023-06-10 06:04:44	94.161		15.86	15.86	1011.0	64.4	53400		0	22.903	315.8	38.5	13.01
180	2023-06-10 06:09:44	94.238		15.86	15.86	1011.0	64.5	53700		0	22.893	315.3	38.6	13.11
181	2023-06-10 06:14:44	94.281		15.86	15.86	1011.0	64.6	54000		0	22.888	315.5	38.2	13.23
182	2023-06-10 06:19:44	94.167		15.85	15.85	1011.0	64.7	54300		0	22.903	315.3	38.4	13.36
183	2023-06-10 06:24:44	94.199		15.85	15.85	1011.0	64.8	54600		0	22.899	315.3	38.2	13.49
184	2023-06-10 06:29:44	94.205		15.85	15.85	1011.0	65.0	54900		0	22.899	314.8	38.4	13.65
185	2023-06-10 06:34:44	94.308		15.85	15.85	1011.0	65.1	55200		0	22.886	314.6	38.1	13.82
186	2023-06-10 06:39:44	94.194		15.84	15.84	1011.0	65.2	55500		0	22.901	314.3	38.2	14.02
187	2023-06-10 06:44:44	94.221		15.84	15.84	1011.0	65.4	55800		0	22.897	314.1	38.1	14.20
188	2023-06-10 06:49:44	94.217		15.84	15.84	1011.1	65.4	56100		0	22.897	313.7	38.3	14.41
189	2023-06-10 06:54:44	94.251		15.83	15.83	1011.1	65.6	56400		0	22.893	313.2	38.4	14.62
190	2023-06-10 06:59:44	94.256		15.84	15.84	1011.1	65.6	56700		0	22.892	313.0	38.5	14.83
191	2023-06-10 07:04:44	94.234		15.82	15.82	1011.1	65.8	57000		0	22.896	312.7	38.4	15.06
192	2023-06-10 07:09:44	94.296		15.82	15.82	1011.0	65.8	57300		0	22.889	312.0	38.3	15.28
193	2023-06-10 07:14:44	94.190		15.82	15.82	1011.0	65.8	57600		0	22.903	311.8	38.4	15.49
194	2023-06-10 07:19:44	94.130		15.82	15.82	1011.0	65.8	57900		0	22.911	311.3	38.6	15.72
195	2023-06-10 07:24:44	94.165		15.82	15.82	1011.0	65.9	58200		0	22.907	311.0	38.6	15.96
196	2023-06-10 07:29:44	94.150		15.82	15.82	1011.0	65.9	58500		0	22.909	310.9	38.4	16.23
197	2023-06-10 07:34:44	94.147		15.81	15.81	1011.0	65.9	58800		0	22.909	310.2	38.6	16.50
198	2023-06-10 07:39:44	94.016		15.82	15.82	1011.1	65.9	59100		0	22.924	309.8	38.5	16.77
199	2023-06-10 07:44:44	94.096		15.81	15.81	1011.1	65.9	59400		0	22.914	309.3	38.5	17.08
200	2023-06-10 07:49:44	94.116		15.81	15.81	1011.1	66.3	59700		0	22.912	310.4	38.4	17.64
201	2023-06-10 07:54:44	94.087		15.80	15.80	1011.1	66.2	60000		0	22.917	307.7	38.7	18.07
202	2023-06-10 07:59:44	94.099		15.80	15.80	1011.2	66.1	60300		0	22.914	307.5	38.6	18.51
203	2023-06-10 08:04:44	94.150		15.81	15.81	1011.2	65.9	60600		0	22.907	306.2	38.6	18.87
204	2023-06-10 08:09:44	94.076		15.81	15.81	1011.3	65.6	60900		0	22.916	305.4	38.8	19.14
205	2023-06-10 08:14:44	94.088		15.80	15.80	1011.2	65.4	61200		0	22.916	305.0	38.5	19.35
206	2023-06-10 08:19:44	94.005		15.80	15.80	1011.2	65.3	61500		0	22.926	304.6	38.5	19.53
207	2023-06-10 08:24:44	94.035		15.80	15.80	1011.1	65.0	61800		0	22.923	304.2	38.7	19.76
208	2023-06-10 08:29:44	94.008		15.80	15.80	1011.1	64.9	62100		0	22.927	303.9	38.5	19.96
209	2023-06-10 08:34:44	93.973		15.79	15.79	1011.1	64.6	62400		0	22.932	303.5	38.6	20.19
210	2023-06-10 08:39:44	93.946		15.80	15.80	1011.1	64.4	62700		0	22.935	303.1	38.6	20.38
211	2023-06-10 08:44:44	94.015		15.80	15.80	1010.9	64.2	63000		0	22.928	302.7	38.5	20.62
212	2023-06-10 08:49:44	93.989		15.79	15.79	1011.0	64.0	63300		0	22.931	302.6	38.5	20.85
213	2023-06-10 08:54:44	94.015		15.79	15.79	1011.0	63.8	63600		0	22.928	301.9	38.6	21.06
214	2023-06-10 08:59:44	93.995		15.80	15.80	1011.0	63.5	63900		0	22.930	301.6	38.6	21.30
215	2023-06-10 09:04:44	93.925		15.79	15.79	1010.8	63.5	64200		0	22.941	301.1	38.6	21.51
216	2023-06-10 09:09:44	93.990		15.79	15.79	1010.8	63.1	64500		0	22.933	300.6	38.6	21.74
217	2023-06-10 09:14:44	93.935		15.79	15.79	1011.0	62.9	64800		0	22.939	300.4	38.6	21.96
218	2023-06-10 09:19:44	93.943		15.79	15.79	1010.8	62.5	65100		0	22.939	300.0	38.7	22.15
219	2023-06-10 09:24:44	93.919		15.79	15.79	1010.8	62.3	65400		0	22.942	299.3	38.3	22.35
220	2023-06-10 09:29:44	93.999		15.79	15.79	1010.9	62.0	65700		0	22.931	299.1	38.6	22.54
221	2023-06-10 09:34:44	93.885		15.79	15.79	1011.0	61.6	66000		0	22.944	298.8	38.7	22.76
222	2023-06-10 09:39:44	93.810		15.80	15.80	1010.9	61.4	66300		0	22.954	298.3	38.9	22.99
223	2023-06-10 09:44:44	93.941		15.80	15.80	1010.9	61.2	66600		0	22.937	297.8	38.8	23.17
