PointName_,LatDD,LongDD,Elevation,Code,
PRS957943856872,39.64481750N,77.48693956W,438.274,RTCM0000,
parking lot,38.87428826N,76.55086254W,-30.215,,
SW_C8,38.87369324N,76.55212785W,-25.804,SW_GRID,
SW_C5,38.87371872N,76.55230564W,-24.563,SW_GRID,
SW_C1,38.87376153N,76.55251922W,-25.303,SW_GRID,
SW_C2,38.87374562N,76.55247116W,-25.322,SW_GRID,
SW_C3,38.87374278N,76.55241828W,-23.907,SW_GRID,
SW_C7,38.87370379N,76.55218032W,-25.139,SW_GRID,
SW_B7-2,38.87375027N,76.55217021W,-26.932,SW_GRID,
SW_B8,38.87374585N,76.55210953W,-24.265,SW_GRID,
SW_A9,38.87377657N,76.55204656W,-26.288,SW GRID,SW-SurfaceType:
SW_D2,38.87370485N,76.55247773W,-27.101,SW_GRID,
SW_D1,38.87371305N,76.55253616W,-26.996,SW_GRID,
SW_D3,38.87369524N,76.55242759W,-24.72,SW_GRID,
SW_D4,38.87368718N,76.55235263W,-25.015,SW_GRID,
SW_D5,38.87367739N,76.55231187W,-24.77,SW_GRID,
SW_D7,38.87366379N,76.55219709W,-23.953,SW_GRID,
SW_D8,38.87365050N,76.55213825W,-26.049,SW_GRID,
SW_E1,38.87367044N,76.55254615W,-26.988,SW_GRID,
SW_E2,38.87366110N,76.55248831W,-26.845,SW_GRID,
SW_E3,38.87365296N,76.55243200W,-26.684,SW_GRID,
SW_E4,38.87364813N,76.55237434W,-25.604,SW_GRID,
SW_E6,38.87362149N,76.55226522W,-24.073,SW_GRID,
SW_E7,38.87361828N,76.55220801W,-26.512,SW_GRID,
SW_E8,38.87361439N,76.55214975W,-24.853,SW_GRID,
SW_F1,38.87362350N,76.55255844W,-26.234,SW_GRID,
SW_F2,38.87361390N,76.55249729W,-24.959,SW_GRID,
SW_F3,38.87360541N,76.55244808W,-23.838,SW_GRID,
SW_F4,38.87359894N,76.55238549W,-25.884,SW_GRID,
SW_F5,38.87359018N,76.55233112W,-26.415,SW_GRID,
SW_F8,38.87356155N,76.55215881W,-25.525,SW_GRID,
SW_G3,38.87356731N,76.55245017W,-26.247,SW_GRID,
SW_G4,38.87355354N,76.55240073W,-26.656,SW_GRID,
SW_G5,38.87354301N,76.55234507W,-26.815,SW_GRID,
lab reference,38.87428310N,76.55045383W,-31.324,,
SW_G6,38.87353505N,76.55228835W,-26.458,SW_GRID,
SW_G7,38.87352127N,76.55223449W,-24.884,SW_GRID,
SW_G1,38.87358382N,76.55257184W,-26.006,SW_GRID,
SW_H2,38.87352793N,76.55253322W,-24.222,SW_GRID,
SW_G2,38.87357657N,76.55251146W,-25.189,SW_GRID,
SW_H4,38.87351097N,76.55240905W,-25.504,SW_GRID,
SW_H5,38.87350092N,76.55235316W,-25.118,SW_GRID,
SW_H6,38.87349193N,76.55229864W,-25.69,SW_GRID,
SW_H7,38.87348488N,76.55224141W,-24.779,SW_GRID,
SW_H8,38.87347297N,76.55218417W,-24.823,SW_GRID,
lab reference 0316,38.87427643N,76.55045532W,-31.626,,
SW_I1,38.87349171N,76.55259639W,-27.263,SW_GRID,
SW_I2,38.87348122N,76.55253630W,-26.708,SW_GRID,
SW_I3,38.87347040N,76.55248146W,-26.634,SW_GRID,
SW_H3,38.87351467N,76.55246132W,-23.456,SW_GRID,
SW_I6,38.87344668N,76.55231165W,-23.677,SW_GRID,
SW_I7,38.87344004N,76.55225524W,-25.73,SW_GRID,
SW_I8,38.87342537N,76.55219607W,-22.48,SW_GRID,
SW_I5,38.87345708N,76.55236875W,-26.129,SW_GRID,
SW_B4,38.87377319N,76.55233912W,-26.81,SW_GRID,
SW_C4,38.87372890N,76.55235089W,-26.001,SW_GRID,
SW_C6,38.87371800N,76.55224065W,-25.869,SW_GRID,
SW_B9,38.87372981N,76.55205592W,-26.576,SW_GRID,
SW_D6,38.87367130N,76.55224065W,-25.186,SW_GRID,
SW_E5,38.87363376N,76.55231811W,-26.833,SW_GRID,
SW_F6,38.87358334N,76.55227123W,-24.354,SW_GRID,
SW_F7,38.87357058N,76.55220356W,-23.254,SW_GRID,
SW_G8,38.87351235N,76.55217139W,-22.836,SW_GRID,
SW_H1,38.87354085N,76.55258359W,-24.649,SW_GRID,
SW_I4,38.87346634N,76.55242576W,-26.719,SW_GRID,
SW_K7-2,38.87334630N,76.55227485W,-22.957,SW_GRID,
SW_K9-2,38.87334027N,76.55216694W,-21.762,SW_GRID,
