"TOA5","TEMPEST_REDOX_fresh","CR1000","86614","CR1000.Std.31.03","CPU:COMPASS_Redox_Tempest_2024v1.CR1","14439","Redox5"
"TIMESTAMP","RECORD","Statname","BattV","RedoxRa(1)","RedoxRa(2)","RedoxRa(3)","RedoxRa(4)","RedoxRa(5)","RedoxRa(6)","RedoxRa(7)","RedoxRa(8)","RedoxRa(9)","RedoxRa(10)","RedoxRa(11)","RedoxRa(12)","RedoxRa(13)","RedoxRa(14)","RedoxRa(15)","RedoxRa(16)","RedoxRa(17)","RedoxRa(18)","RedoxRa(19)","RedoxRa(20)","RedoxRb(1)","RedoxRb(2)","RedoxRb(3)","RedoxRb(4)","RedoxRb(5)","RedoxRb(6)","RedoxRb(7)","RedoxRb(8)","RedoxRb(9)","RedoxRb(10)","RedoxRb(11)","RedoxRb(12)","RedoxRb(13)","RedoxRb(14)","RedoxRb(15)","RedoxRb(16)","RedoxRb(17)","RedoxRb(18)","RedoxRb(19)","RedoxRb(20)"
"TS","RN","","Volts","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2024-05-07 06:45:00",18,"NAN",11.93,1768.865,554.5547,546.7368,-364.8878,1565.092,494.3915,554.8945,536.7097,625.5947,147.5187,582.7667,551.4955,575.2888,1113.018,588.2052,592.2841,1394.969,569.8503,562.7124,621.006,1794.187,561.3528,555.7443,-362.5085,1572.4,501.8694,563.5621,547.9265,634.7722,156.8661,593.1339,557.6138,584.9761,1125.255,598.4023,601.4615,1401.088,580.0475,573.0795,630.5234
"2024-05-07 06:50:00",19,"NAN",11.93,1772.584,552.1694,546.3911,-371.0021,1567.284,492.8567,558.4576,537.0438,627.7974,147.5171,582.7605,548.4305,575.2827,1117.255,588.8787,589.7285,1393.595,569.8443,565.4255,620.9994,1791.789,561.8566,558.2877,-361.8248,1570.513,501.1842,563.7261,546.3911,637.3146,159.4136,598.396,557.4379,586.3295,1125.753,598.5659,599.5856,1400.563,580.2112,575.1127,630.8565
"2024-05-07 06:55:00",20,"NAN",11.93,1772.771,552.5143,545.7162,-370.6656,1566.449,492.6912,559.3124,537.0487,626.9534,147.6884,582.4259,548.9454,575.288,1117.605,590.2437,590.4137,1393.098,570.0194,563.0514,621.175,1794.525,562.7115,555.4036,-357.9192,1572.397,503.5681,563.7312,546.2261,634.4313,156.8658,591.7733,560.842,584.4653,1124.573,598.2315,601.8005,1404.994,578.8569,572.5687,630.6923
"2024-05-07 07:00:00",21,"NAN",11.93,1770.564,555.2345,546.227,-370.4962,1569,493.2018,555.2345,539.9387,625.2549,152.7872,582.5968,551.6655,574.949,1118.117,588.5452,590.2446,1398.708,572.3997,563.5621,625.5947,1796.227,564.2419,555.4044,-357.07,1573.589,501.1896,563.7321,546.227,634.4323,156.5262,591.9442,559.9932,584.8062,1122.196,597.7225,600.2719,1402.107,578.8578,573.5894,630.0135
"2024-05-07 07:05:00",22,"NAN",11.93,1772.094,552.0055,547.4167,-370.1564,1567.471,493.7118,555.2346,537.8994,625.4249,148.3685,583.1068,549.7961,577.1584,1118.457,590.0748,590.2448,1400.578,570.0204,563.3923,621.516,1796.737,561.5228,555.2346,-361.9987,1573.25,502.0395,569.3406,546.2271,637.4915,156.5262,591.4344,557.444,585.4861,1124.575,599.9321,600.4419,1401.768,579.1979,574.7791,631.2033
"2024-05-07 07:10:00",23,"NAN",11.93,1771.924,552.8552,551.3257,-370.1564,1569.001,494.5616,555.2346,537.0497,625.085,147.3488,584.8063,549.6262,578.1782,1117.777,589.9048,590.4147,1400.238,570.0204,563.5623,621.516,1797.757,564.412,554.8947,-361.6588,1575.119,502.0395,563.5623,546.7369,634.7723,161.6248,591.6044,560.3331,584.9763,1126.105,598.2325,600.102,1405.507,580.0476,573.5894,633.9225
"2024-05-07 07:15:00",24,"NAN",11.93,1774.303,551.6656,545.7172,-367.947,1573.759,499.3202,555.4045,540.2787,625.085,147.5187,582.257,549.1163,575.4589,1117.607,588.0354,594.8335,1402.957,572.0599,564.2421,621.686,1796.737,564.0721,555.0646,-361.8287,1576.819,502.2094,563.7322,549.2863,634.7723,161.1149,590.5847,560.1632,584.9763,1126.275,597.8926,599.9321,1406.186,581.4072,573.9293,634.2625
"2024-05-07 07:20:00",25,"NAN",11.93,1774.303,552.5153,545.7172,-368.2869,1573.42,494.7315,555.5745,537.2196,625.5948,147.3488,582.7668,549.1163,575.7988,1119.647,588.5452,591.9443,1403.297,570.0204,566.2815,621.8559,1796.227,562.0327,561.0129,-361.4888,1578.008,502.7193,564.2421,546.2271,634.4324,156.3562,594.1537,559.4834,588.7152,1126.954,600.272,599.7621,1408.736,579.1979,573.7594,631.3732
"2024-05-07 07:25:00",26,"NAN",11.93,1773.114,553.0252,546.2271,-370.6662,1575.289,494.7315,558.1238,537.5595,630.1836,147.5187,584.1265,549.1163,575.7988,1118.967,588.7152,590.4147,1403.297,570.7003,568.3209,622.0259,1797.587,561.8627,556.7642,-361.4888,1577.838,506.1183,563.7322,547.9266,634.2625,156.1863,592.6241,557.7839,585.6561,1128.144,598.5724,601.4616,1410.775,581.5772,573.5894,631.5432
"2024-05-07 07:30:00",27,"NAN",11.93,1776.003,558.4637,546.0571,-367.0972,1575.969,494.9015,555.4045,537.8994,625.085,149.7281,582.087,553.8749,575.6288,1118.627,588.5452,590.7546,1406.356,570.3604,564.582,623.8953,1801.666,561.8627,555.2346,-358.9395,1580.048,506.2883,563.5623,549.2863,634.0925,156.1863,590.9246,557.7839,584.4664,1126.954,598.9124,603.671,1412.135,580.7274,574.4392,631.5432
