"TOA5","RedoxMU1_81","CR1000","86633","CR1000.Std.31.03","CPU:COMPASS_MU_programsv2.CR1","36780","Table1"
"TIMESTAMP","RECORD","Statname","BattV","RedoxRa(1)","RedoxRa(2)","RedoxRa(3)","RedoxRa(4)","RedoxRa(5)","RedoxRa(6)","RedoxRa(7)","RedoxRa(8)","RedoxRa(9)","RedoxRa(10)","RedoxRa(11)","RedoxRa(12)","RedoxRa(13)","RedoxRa(14)","RedoxRa(15)","RedoxRa(16)","RedoxRa(17)","RedoxRa(18)","RedoxRa(19)","RedoxRa(20)","RedoxRb(1)","RedoxRb(2)","RedoxRb(3)","RedoxRb(4)","RedoxRb(5)","RedoxRb(6)","RedoxRb(7)","RedoxRb(8)","RedoxRb(9)","RedoxRb(10)","RedoxRb(11)","RedoxRb(12)","RedoxRb(13)","RedoxRb(14)","RedoxRb(15)","RedoxRb(16)","RedoxRb(17)","RedoxRb(18)","RedoxRb(19)","RedoxRb(20)"
"TS","RN","","Volts","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2023-06-05 18:10:00",19,"NAN",12.63,442.945,516.399,534.3355,577.8954,405.8763,491.8005,515.0325,545.9515,427.7417,484.1134,542.1934,567.8169,319.9521,474.8889,490.2631,584.8992,850.7004,509.3953,538.0936,574.6498,1922.104,2114.964,2125.384,2127.776,2057.567,2054.322,2123.505,2128.459,2049.88,2104.885,2109.839,2127.605,2073.625,2106.935,2111.035,2128.459,2042.877,2113.256,2123.847,2121.114
"2023-06-05 18:15:00",20,"NAN",12.63,443.2866,516.0574,533.823,577.7246,406.0471,491.8005,513.3242,545.439,427.9125,484.2842,542.1934,567.9877,320.123,475.4014,490.9464,585.2408,848.3088,509.9077,538.0936,574.6498,1923.813,2117.356,2127.605,2129.997,2058.763,2055.688,2124.872,2129.826,2051.76,2106.765,2111.377,2129.142,2074.821,2108.131,2112.231,2129.997,2043.731,2115.135,2125.726,2123.164
"2023-06-05 18:20:00",21,"NAN",12.63,443.7991,515.5449,533.1397,577.7246,406.0471,491.9713,511.9576,544.9265,428.2542,484.6259,542.1934,568.1585,320.4646,475.7431,491.6296,585.2408,846.6006,510.4202,537.9228,574.8206,1925.009,2118.381,2128.288,2130.509,2060.13,2056.542,2125.555,2131.021,2052.955,2107.96,2112.402,2130.509,2075.675,2108.985,2112.914,2130.338,2043.731,2115.306,2126.068,2123.505
"2023-06-05 18:25:00",22,"NAN",12.62,444.6532,514.8616,532.7981,578.0663,406.218,492.1421,510.4202,544.7557,428.425,484.9675,542.0225,567.9877,320.9771,475.9139,492.1421,585.2408,844.3799,510.7619,537.5811,574.479,1925.179,2118.039,2128.288,2130.851,2061.667,2058.08,2126.58,2132.046,2054.493,2109.498,2113.939,2131.534,2076.7,2110.181,2114.281,2131.534,2044.414,2116.672,2126.751,2124.018
"2023-06-05 18:30:00",23,"NAN",12.62,444.6532,514.3492,532.2856,577.8954,406.218,491.9713,508.5412,544.0724,428.5958,485.1384,542.1934,567.9877,321.1479,476.2556,492.4838,585.4117,841.3051,511.4452,537.4103,574.8206,1927.571,2119.747,2130.167,2132.388,2062.521,2058.934,2127.605,2133.413,2055.688,2111.206,2114.964,2133.071,2078.408,2112.06,2115.647,2132.901,2044.585,2118.21,2128.801,2126.068
"2023-06-05 18:35:00",24,"NAN",12.62,445.1657,514.0075,531.944,577.7246,406.3888,492.3129,506.8329,543.7308,428.9375,485.8217,541.8517,568.1585,321.6604,476.5972,492.9962,585.5825,838.7427,511.616,537.0687,574.8206,1929.108,2120.601,2131.021,2133.584,2064.229,2060.471,2128.459,2134.609,2057.226,2112.231,2116.16,2133.926,2080.116,2113.256,2117.356,2134.267,2045.61,2120.089,2130.167,2127.263
"2023-06-05 18:40:00",25,"NAN",12.62,445.5073,513.6658,531.2607,578.0663,406.5596,492.1421,505.1247,543.2183,428.9375,486.1633,542.0225,567.9877,322.002,476.5972,493.5087,585.5825,835.6679,512.2993,537.0687,574.9915,1930.304,2122.31,2132.388,2134.78,2064.913,2061.155,2128.972,2135.463,2057.738,2112.914,2117.014,2134.78,2080.629,2113.768,2117.697,2134.78,2045.781,2120.43,2130.338,2127.605
"2023-06-05 18:45:00",26,"NAN",12.62,445.6782,513.4951,530.919,577.8954,406.5596,492.3129,503.2456,542.8766,429.2791,486.3341,542.0225,568.3293,322.1729,477.1096,494.0212,585.4117,833.2764,512.4701,536.8978,574.6498,1931.158,2122.48,2132.73,2134.95,2065.425,2062.521,2129.826,2136.146,2058.763,2113.427,2117.014,2135.292,2081.312,2114.281,2118.381,2135.292,2045.61,2120.601,2130.338,2127.947
"2023-06-05 18:50:00",27,"NAN",12.62,446.3615,513.1534,530.7482,578.0663,406.9012,491.9713,501.3666,542.3642,429.6208,486.5049,542.1934,568.1585,322.5145,477.2805,494.3628,585.5825,830.3724,512.9825,536.727,574.6498,1931.841,2122.651,2132.73,2135.634,2065.596,2061.838,2129.484,2135.804,2058.763,2113.939,2117.868,2135.804,2082.166,2115.135,2119.064,2135.634,2045.439,2121.285,2131.192,2128.63
"2023-06-05 18:55:00",28,"NAN",12.62,446.1906,512.8118,529.5524,578.0663,406.9012,491.4588,499.4875,542.0225,429.6208,486.8466,542.0225,568.1585,322.8562,477.6221,495.0461,585.7533,827.2975,513.1534,536.5562,574.8206,1933.379,2124.188,2134.438,2137,2067.988,2064.4,2131.534,2138.708,2061.838,2117.014,2120.772,2138.367,2085.07,2117.526,2121.797,2138.367,2046.806,2124.53,2134.267,2131.705
"2023-06-05 19:00:00",29,"NAN",12.62,446.5384,512.648,529.0472,577.9034,406.9069,491.1239,497.2737,541.5175,429.7975,487.1949,542.2008,568.3372,323.2023,477.7995,495.5654,585.7614,823.2092,513.5021,536.2219,574.9994,1935.114,2125.072,2134.809,2137.713,2068.699,2064.429,2131.734,2138.396,2061.696,2116.701,2120.63,2138.396,2085.44,2117.897,2121.997,2138.396,2046.321,2124.73,2134.126,2131.905
